Company,Industry,Tier,Division,Fit,Territory,City,State,Country,Contacts,Tier1 Reason
Eli Lilly and Company,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Midwest,Indianapolis,Indiana,United States,330,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
AbbVie,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Midwest,Lake Bluff,Illinois,United States,254,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
AbbVie Inc.,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Midwest,North Chicago,Illinois,United States,157,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
NATURE'S PRODUCTS,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Midwest,San Antonio,Texas,United States,23,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
UCKELE HEALTH & NUTRITION INC.,Nutraceutical,Tier 1,Natoli Scientific,Formulation,Midwest,Blissfield,Michigan,United States,17,Nutraceutical/supplement manufacturer with verified tablet and capsule production needs.
PARSOLEX GMP CENTER,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Midwest,West Lafayette,Indiana,United States,15,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
VETS PLUS INC.,Veterinary Pharma,Tier 1,Natoli Scientific,Formulation,Midwest,Menomonie,Wisconsin,United States,14,Veterinary pharmaceutical manufacturer with animal health tablet production.
Altoids (Mars Wrigley),Confectionery,Tier 1,Natoli Engineering,Tooling,Midwest,Chicago,Illinois,United States,11,Candy/mint manufacturer with high-volume tablet pressing operations.
DIETARY PROS (DP LABS),Nutraceutical,Tier 1,Natoli Scientific,Formulation,Midwest,Wausau,Wisconsin,United States,10,Nutraceutical/supplement manufacturer with verified tablet and capsule production needs.
"Vesta Pharmaceuticals, Inc.",Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Midwest,Indianapolis,Indiana,United States,10,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
UPSHER-SMITH LABORATORIES LLC,CDMO,Tier 1,Natoli Scientific,Formulation,Midwest,Osseo,Minnesota,United States,10,Contract development and manufacturing organization serving pharma clients with tablet production.
Amway,Nutraceutical,Tier 1,Natoli Scientific,Formulation,Midwest,Ada,Michigan,United States,10,Nutraceutical/supplement manufacturer with verified tablet and capsule production needs.
Aprecia Pharmaceuticals,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Midwest,Mason,Ohio,United States,9,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
"NOSTRUM LABORATORIES, INC.",Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Midwest,Jackson,Missouri,United States,9,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
"STERLING PHARMACEUTICAL SERVICES, LLC",Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Midwest,Dupo,Illinois,United States,9,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
SweeTARTS (Ferrara Candy),Confectionery,Tier 1,Natoli Engineering,Tooling,Midwest,Chicago,Illinois,United States,9,Candy/mint manufacturer with high-volume tablet pressing operations.
Northrop Grumman (Ammunition),Defense & Energetics,Tier 1,Natoli Engineering,Tooling,Midwest,Falls Church,Virginia,United States,8,Defense/energetics manufacturer with propellant or explosive pressing operations.
Stabil Nutrition LLC,Nutraceutical,Tier 1,Natoli Scientific,Formulation,Midwest,St. Louis,Missouri,United States,8,Nutraceutical/supplement manufacturer with verified tablet and capsule production needs.
HUMANWELL PHARMACEUTICAL US INC.,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Midwest,Ballwin,Missouri,United States,7,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
UNIPHARM,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Midwest,,Texas,,7,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
US COMPOUNDING PHARMACY,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Midwest,Conway,Arkansas,United States,7,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
ADM,Nutraceutical,Tier 1,Natoli Scientific,Formulation,Midwest,Chicago,Illinois,United States,6,Nutraceutical/supplement manufacturer with verified tablet and capsule production needs.
"FORMULIFE, INC.",Nutraceutical,Tier 1,Natoli Scientific,Formulation,Midwest,Allen,Texas,United States,6,Nutraceutical/supplement manufacturer with verified tablet and capsule production needs.
"OHM PHARMA, INC.",Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Midwest,Mineral Wells,Texas,United States,6,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Philex Pharmaceuticals,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Midwest,Wichita,Kansas,United States,6,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Life Savers (Mars Wrigley),Confectionery,Tier 1,Natoli Engineering,Tooling,Midwest,Chicago,Illinois,United States,6,Candy/mint manufacturer with high-volume tablet pressing operations.
Amcor,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Midwest,Appleton,Wisconsin,United States,6,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Intuit,Nutraceutical,Tier 1,Natoli Scientific,Formulation,Midwest,Kansas City,Missouri,United States,6,Nutraceutical/supplement manufacturer with verified tablet and capsule production needs.
Austin Powder,Defense & Energetics,Tier 1,Natoli Engineering,Tooling,Midwest,Beachwood,Ohio,United States,5,Defense/energetics manufacturer with propellant or explosive pressing operations.
GENESIS PHARMACY SERVICES,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Midwest,St. Louis,Missouri,United States,5,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
LACORE Nutraceuticals,Nutraceutical,Tier 1,Natoli Scientific,Formulation,Midwest,Van Alstyne,Texas,United States,5,Nutraceutical/supplement manufacturer with verified tablet and capsule production needs.
QUALITY SUPPLEMENT MFG. INC.,Nutraceutical,Tier 1,Natoli Scientific,Formulation,Midwest,Bethany,Oklahoma,United States,5,Nutraceutical/supplement manufacturer with verified tablet and capsule production needs.
Solidtech Animal Health,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Midwest,Newcastle,Oklahoma,United States,5,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
"HANLEY INDUSTRIES, INC.",Defense & Energetics,Tier 1,Natoli Engineering,Tooling,Midwest,Alton,Illinois,United States,5,Defense/energetics manufacturer with propellant or explosive pressing operations.
"K-V Generic Pharmaceuticals, Inc.",Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Midwest,Bridgeton,Missouri,United States,5,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Impact Confections,Confectionery,Tier 1,Natoli Engineering,Tooling,Midwest,Janesville,Wisconsin,United States,5,Candy/mint manufacturer with high-volume tablet pressing operations.
1905 New Media,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Midwest,St. Louis,Missouri,United States,5,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
MATERION ADVANCED CHEMICAL,Nuclear Fuel,Tier 1,Natoli Engineering,Tooling,Midwest,Mequon,Wisconsin,United States,5,Nuclear fuel fabrication with precision pellet pressing for fuel rod assembly.
Cirkul,Nutraceutical,Tier 1,Natoli Scientific,Formulation,Midwest,Plainfield charter Township,Michigan,United States,5,Nutraceutical/supplement manufacturer with verified tablet and capsule production needs.
bellpharm.com,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Midwest,,Minnesota,,4,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
