Company,Industry,Tier,Division,Fit,Territory,City,State,Country,Contacts,Tier1 Reason
Ferrero Canada,Confectionery,Tier 1,Natoli Engineering,Tooling,Other US,,,United States,15,Candy/mint manufacturer with high-volume tablet pressing operations.
FERRARA CANDY COMPANY,Confectionery,Tier 1,Natoli Engineering,Tooling,Other US,,,United States,14,Candy/mint manufacturer with high-volume tablet pressing operations.
CONCORD CONFECTIONS,Confectionery,Tier 1,Natoli Engineering,Tooling,Other US,,,United States,10,Candy/mint manufacturer with high-volume tablet pressing operations.
"MID CONTINENT PACKAGING, INC.",Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Other US,Enid,Oklahoma,United States,10,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Roquette,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Other US,,,United States,10,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Glenmark,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Other US,,,United States,9,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
CARI-MED GROUP LIMITED,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Other US,,,United States,7,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
OAK LEAF CONFECTIONS LTD.,Confectionery,Tier 1,Natoli Engineering,Tooling,Other US,,,United States,7,Candy/mint manufacturer with high-volume tablet pressing operations.
NATCO Pharma,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Other US,,,United States,6,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
AKUMS PHARMACEUTICAL,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Other US,,,United States,5,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Indian Immunologicals Limited,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Other US,,,United States,5,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Kardigan,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Other US,,,United States,5,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
SUN PHARM (India),Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Other US,,,United States,5,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Towa Pharma,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Other US,,,United States,5,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Toyota North America,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Other US,,,United States,5,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Azurity Pharmaceuticals,Pharma,Tier 1,Natoli Scientific,Formulation,Other US,,,United States,5,Verified manufacturing operation with tablet/compaction equipment needs.
"FLOURISH INTEGRATIVE PHARMACY, LLC",Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Other US,Oklahoma City,Oklahoma,United States,4,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
ALKALOID AD Skopje,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Other US,,,United States,4,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Argenx,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Other US,,,United States,4,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Bend Science,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Other US,,,United States,4,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Kenvue,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Other US,,,United States,4,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Quotient Sciences (CDMO),CDMO,Tier 1,Natoli Scientific,Formulation,Other US,,,United States,4,Contract development and manufacturing organization serving pharma clients with tablet production.
Riyadh Pharma,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Other US,,,United States,4,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Samsung Biologics,CDMO,Tier 1,Natoli Scientific,Formulation,Other US,,,United States,4,Contract development and manufacturing organization serving pharma clients with tablet production.
Standard Process Inc.,Nutraceutical,Tier 1,Natoli Scientific,Formulation,Other US,,,United States,4,Nutraceutical/supplement manufacturer with verified tablet and capsule production needs.
"SOVEREIGN PHARMACEUTICALS, LLC",CDMO,Tier 1,Natoli Scientific,Formulation,Other US,Fort Worth,Texas,United States,3,Contract development and manufacturing organization serving pharma clients with tablet production.
Piping Rock Health Products,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Other US,,,United States,3,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Ajanta Pharma Ltd,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Other US,,,United States,3,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
"Anritsu PQA Group (Chicago, USA)",Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Other US,,,United States,3,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Ardena,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Other US,,,United States,3,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
