Company,Industry,Tier,Division,Fit,Territory,City,State,Country,Contacts,Tier1 Reason
Corning Incorporated,Advanced Ceramics,Tier 1,Natoli Engineering,Tooling,Southeast,Roanoke,Virginia,United States,596,Advanced ceramics producer with powder compaction for technical ceramic parts.
Merck,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Northeast,Rahway,New Jersey,United States,502,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Merck & Co.,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Northeast,Rahway,New Jersey,United States,494,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Eli Lilly and Company,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Midwest,Indianapolis,Indiana,United States,330,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Bristol-Myers Squibb,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Northeast,Princeton,New Jersey,United States,274,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Pfizer CentreOne,CDMO/CMO,Tier 1,Natoli Scientific,Formulation,Northeast,New York,New York,United States,273,Contract development and manufacturing organization serving pharma clients with tablet production.
Pfizer,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Northeast,New York,New York,United States,273,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Pfizer Inc.,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Northeast,New York,New York,United States,272,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Saint-Gobain Abrasives,Abrasives,Tier 1,Natoli Engineering,Tooling,Northeast,Worcester,Massachusetts,United States,270,Abrasives manufacturer with grinding wheel and segment pressing.
AbbVie,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Midwest,Lake Bluff,Illinois,United States,254,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Bio-Rad Laboratories,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,Copenhagen,Capital Region of Denmark,Denmark,196,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Syngenta,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,Basel,Basel-Stadt,Switzerland,173,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
AbbVie Inc.,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Midwest,North Chicago,Illinois,United States,157,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Los Alamos National Laboratory,Nuclear Fuel,Tier 1,Natoli Engineering,Tooling,Rocky Mountain,Los Alamos,New Mexico,United States,146,Nuclear fuel fabrication with precision pellet pressing for fuel rod assembly.
Oak Ridge National Laboratory,Nuclear Fuel,Tier 1,Natoli Engineering,Tooling,Southeast,Oak Ridge,Tennessee,United States,145,Nuclear fuel fabrication with precision pellet pressing for fuel rod assembly.
Framatome Inc.,Nuclear & Energy,Tier 1,Natoli Engineering,Tooling,West Coast,Richland,Washington,United States,133,Nuclear fuel fabrication with precision pellet pressing for fuel rod assembly.
GSK,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Southeast,London,North Carolina,United States,120,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
takeda.co.id,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,,,,104,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
ALBEMARLE CATALYSTS COMPANY BV,Battery Manufacturing,Tier 1,Natoli Engineering,Tooling,International,Charlotte,North Carolina,Netherlands,103,Battery electrode manufacturer with cathode/anode compaction for cell production.
AstraZeneca Pharmaceuticals LP,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Northeast,Wilmington,Delaware,United States,99,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
BWX Technologies (BWXT),Nuclear & Energy,Tier 1,Natoli Engineering,Tooling,Southeast,Lynchburg,Virginia,United States,98,Nuclear fuel fabrication with precision pellet pressing for fuel rod assembly.
Akums Drugs& Pharmaceuticals Ltd,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,New Delhi,Delhi,India,98,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
"Allergan Aesthetics, an AbbVie Company",Pharmaceutical,Tier 1,Natoli Scientific,Formulation,West Coast,Irvine,California,United States,98,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Axalta,Battery Manufacturing,Tier 1,Natoli Engineering,Tooling,Southeast,Stephens City,Virginia,United States,97,Battery electrode manufacturer with cathode/anode compaction for cell production.
Cabot Corporation,Battery Manufacturing,Tier 1,Natoli Engineering,Tooling,Northeast,Malden,Massachusetts,United States,96,Battery electrode manufacturer with cathode/anode compaction for cell production.
Idaho National Laboratory,Nuclear Fuel,Tier 1,Natoli Engineering,Tooling,Rocky Mountain,Idaho Falls,Idaho,United States,85,Nuclear fuel fabrication with precision pellet pressing for fuel rod assembly.
Catalent,CDMO/CMO,Tier 1,Natoli Scientific,Formulation,Southeast,Tampa,Florida,United States,81,Contract development and manufacturing organization serving pharma clients with tablet production.
"LONZA, INC.",CDMO/CMO,Tier 1,Natoli Scientific,Formulation,West Coast,,California,,78,Contract development and manufacturing organization serving pharma clients with tablet production.
"ACTAVIS LABORATORIES FL, INC",Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Northeast,Parsippany-Troy Hills,New Jersey,United States,77,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Lonza,CDMO/CMO,Tier 1,Natoli Scientific,Formulation,International,Basel,Basel-Stadt,Switzerland,72,Contract development and manufacturing organization serving pharma clients with tablet production.
Teva Pharmaceutical,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Northeast,Parsippany,New Jersey,United States,62,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
"BOEHRINGER INGELHEIM VETMEDICA, INC.",Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,,,,51,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
"Traeger, Inc.",Confectionery,Tier 1,Natoli Engineering,Tooling,International,Salt Lake City,Utah,China,45,Candy/mint manufacturer with high-volume tablet pressing operations.
QuantumScape Corporation,Battery & Energy,Tier 1,Natoli Engineering,Tooling,West Coast,San Jose,California,United States,44,Battery electrode manufacturer with cathode/anode compaction for cell production.
Cipla USA,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Northeast,Warren,New Jersey,United States,43,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Sandoz (Novartis),Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Northeast,Princeton,New Jersey,United States,43,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Mylan (Viatris),Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Northeast,Canonsburg,Pennsylvania,United States,41,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
ABIC VETERINARY PRODUCTS LTD.,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,Tel Aviv-Yafo,Tel Aviv District,Israel,36,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Farmaco,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,Araguaina,Tocantins,Brazil,36,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
X-energy (Triso-X),Nuclear & Energy,Tier 1,Natoli Engineering,Tooling,Southeast,Rockville,Maryland,United States,32,Nuclear fuel fabrication with precision pellet pressing for fuel rod assembly.
PATHEON INC. C/O THERMO FISHER SCIENTIFIC,CDMO/CMO,Tier 1,Natoli Scientific,Formulation,International,Karlsruhe,Baden-Wuerttemberg,Germany,30,Contract development and manufacturing organization serving pharma clients with tablet production.
STRIDES USA,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,,,,27,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Catalent Pharma Solutions,CDMO/CMO,Tier 1,Natoli Scientific,Formulation,Northeast,Somerset,New Jersey,United States,26,Contract development and manufacturing organization serving pharma clients with tablet production.
"CORERX, INC.",Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Southeast,Clearwater,Florida,United States,26,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
GKN Powder Metallurgy,Powder Metallurgy,Tier 1,Natoli Engineering,Tooling,Southeast,,Tennessee,United Kingdom,26,PM parts producer with metal powder compaction for precision components.
Zoetis,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Northeast,Parsippany-Troy Hills,New Jersey,United States,26,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Perrigo Company plc,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,Dublin,County Dublin,Ireland,25,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Nature's Bounty Co.,Nutraceutical,Tier 1,Natoli Scientific,Formulation,Northeast,Ronkonkoma,New York,United States,23,Nutraceutical/supplement manufacturer with verified tablet and capsule production needs.
NATURE'S PRODUCTS,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Midwest,San Antonio,Texas,United States,23,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
"IKARIA, Inc. - now a part of Mallinckrodt Pharmaceuticals.",Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Northeast,Hampton,New Jersey,United States,22,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
US PHARMA LAB,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Northeast,North Brunswick,New Jersey,United States,21,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
"GLANBIA PERFORMANCE NUTRITION, INC.",Nutraceutical,Tier 1,Natoli Scientific,Formulation,International,London,England,United Kingdom,21,Nutraceutical/supplement manufacturer with verified tablet and capsule production needs.
Balchem Corporation,Nutraceutical,Tier 1,Natoli Scientific,Formulation,International,The Hague,South Holland,Netherlands,21,Nutraceutical/supplement manufacturer with verified tablet and capsule production needs.
"DEERLAND PROBIOTICS & ENZYMES, INC.",Nutraceutical,Tier 1,Natoli Scientific,Formulation,Southeast,Kennesaw,Georgia,United States,20,Nutraceutical/supplement manufacturer with verified tablet and capsule production needs.
SOCIETAL,CDMO/CMO,Tier 1,Natoli Scientific,Formulation,Southeast,Gainesville,Georgia,United States,20,Contract development and manufacturing organization serving pharma clients with tablet production.
TEVA TAKEDA PHARMA LTD.,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,International,Nagoya,Aichi,Japan,20,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Hikma Pharmaceuticals,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Northeast,Berkeley Heights,New Jersey,United States,19,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
"HIMS AND HERS HEALTH, INC",Pharmaceutical,Tier 1,Natoli Scientific,Formulation,West Coast,San Francisco,California,United States,19,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
