Company,Industry,Fit,Tier,Tier 1 Reason,Territory,Website,Phone,City,State,Country,Employees,Data Quality,Needs Research,Contact Count
"Cipla USA","Pharmaceutical","Both","Tier 1","Global generics leader. High-volume tablet manufacturing.","Northeast","https://www.cipla.com","","Warren","New Jersey","United States","25000","Complete","Yes","43"
"Sun Pharmaceutical","Pharmaceutical","Both","Tier 1","India's largest pharma. Major US tablet operations.","Northeast","https://www.sunpharma.com","","Princeton","New Jersey","United States","41000","Partial","Yes","16"
"Aurobindo Pharma USA","Pharmaceutical","Both","Tier 1","Top generics producer. Major US tablet facilities.","Northeast","https://www.aurobindousa.com","","East Windsor","New Jersey","United States","23000","Complete","Yes","5"
"Dr. Reddy's Laboratories","Pharmaceutical","Both","Tier 1","Major generic solid dose manufacturer.","Northeast","https://www.drreddys.com","","Princeton","New Jersey","United States","24000","Complete","Yes","9"
"Hikma Pharmaceuticals","Pharmaceutical","Both","Tier 1","Major generics player. Solid dose focus.","Northeast","https://www.hikma.com","","Berkeley Heights","New Jersey","United States","8800","Complete","Yes","19"
"Sandoz (Novartis)","Pharmaceutical","Both","Tier 1","Novartis generic arm. Major solid dose capacity.","Northeast","https://www.sandoz.com","","Princeton","New Jersey","United States","22000","Complete","Yes","43"
"Mylan (Viatris)","Pharmaceutical","Both","Tier 1","Top 3 global generics. High-volume tablet production.","Northeast","https://www.viatris.com","","Canonsburg","Pennsylvania","United States","37000","Partial","Yes","41"
"Teva Pharmaceutical","Pharmaceutical","Both","Tier 1","World's largest generic pharma. Billions of tablets/year.","Northeast","https://www.tevapharm.com","","Parsippany","New Jersey","United States","37000","Complete","Yes","62"
"Gemini Pharmaceuticals","Nutraceutical","Both","Tier 2","","Northeast","https://www.geminipharm.com","","Commack","New York","United States","200","Complete","Yes","4"
"Pharmavite (Nature Made)","Nutraceutical","Both","Tier 1","Nature Made. Largest US vitamin tablet maker.","West Coast","https://www.pharmavite.com","","Northridge","California","United States","1500","Partial","Yes","15"
