Company,Industry,Tier,Division,Fit,Territory,City,State,Country,Contacts,Tier1 Reason
Merck,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Northeast,Rahway,New Jersey,United States,502,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Merck & Co.,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Northeast,Rahway,New Jersey,United States,494,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Bristol-Myers Squibb,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Northeast,Princeton,New Jersey,United States,274,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Pfizer CentreOne,CDMO/CMO,Tier 1,Natoli Scientific,Formulation,Northeast,New York,New York,United States,273,Contract development and manufacturing organization serving pharma clients with tablet production.
Pfizer,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Northeast,New York,New York,United States,273,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Pfizer Inc.,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Northeast,New York,New York,United States,272,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Saint-Gobain Abrasives,Abrasives,Tier 1,Natoli Engineering,Tooling,Northeast,Worcester,Massachusetts,United States,270,Abrasives manufacturer with grinding wheel and segment pressing.
AstraZeneca Pharmaceuticals LP,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Northeast,Wilmington,Delaware,United States,99,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Cabot Corporation,Battery Manufacturing,Tier 1,Natoli Engineering,Tooling,Northeast,Malden,Massachusetts,United States,96,Battery electrode manufacturer with cathode/anode compaction for cell production.
"ACTAVIS LABORATORIES FL, INC",Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Northeast,Parsippany-Troy Hills,New Jersey,United States,77,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Teva Pharmaceutical,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Northeast,Parsippany,New Jersey,United States,62,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Cipla USA,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,Northeast,Warren,New Jersey,United States,43,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
