Company,Industry,Tier,Division,Fit,Territory,City,State,Country,Contacts,Tier1 Reason
Framatome Inc.,Nuclear & Energy,Tier 1,Natoli Engineering,Tooling,West Coast,Richland,Washington,United States,133,Nuclear fuel fabrication with precision pellet pressing for fuel rod assembly.
"Allergan Aesthetics, an AbbVie Company",Pharmaceutical,Tier 1,Natoli Scientific,Formulation,West Coast,Irvine,California,United States,98,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
"LONZA, INC.",CDMO/CMO,Tier 1,Natoli Scientific,Formulation,West Coast,,California,,78,Contract development and manufacturing organization serving pharma clients with tablet production.
QuantumScape Corporation,Battery & Energy,Tier 1,Natoli Engineering,Tooling,West Coast,San Jose,California,United States,44,Battery electrode manufacturer with cathode/anode compaction for cell production.
"HIMS AND HERS HEALTH, INC",Pharmaceutical,Tier 1,Natoli Scientific,Formulation,West Coast,San Francisco,California,United States,19,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
HARBOR HEALTH & APOTHECARY,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,West Coast,Gig Harbor,Washington,United States,17,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
Pharmavite (Nature Made),Nutraceutical,Tier 1,Natoli Scientific,Formulation,West Coast,Northridge,California,United States,15,Nutraceutical/supplement manufacturer with verified tablet and capsule production needs.
"VIT-BEST NUTRITION, INC.",Nutraceutical,Tier 1,Natoli Scientific,Formulation,West Coast,Tustin,California,United States,13,Nutraceutical/supplement manufacturer with verified tablet and capsule production needs.
"STASON PHARMACEUTICALS, INC.",Pharmaceutical,Tier 1,Natoli Scientific,Formulation,West Coast,Irvine,California,United States,12,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
LIEF ORGANICS,Nutraceutical,Tier 1,Natoli Scientific,Formulation,West Coast,Los Angeles,California,United States,12,Nutraceutical/supplement manufacturer with verified tablet and capsule production needs.
NUTRAWISE,Nutraceutical,Tier 1,Natoli Scientific,Formulation,West Coast,,California,,11,Nutraceutical/supplement manufacturer with verified tablet and capsule production needs.
"Viking Therapeutics, Inc.",Pharmaceutical,Tier 1,Natoli Scientific,Formulation,West Coast,San Diego,California,United States,11,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
"ASCENT PHARMACEUTICALS, INC.",Pharmaceutical,Tier 1,Natoli Scientific,Formulation,West Coast,Concord,California,United States,10,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
MIRATI THERAPEUTICS,Pharmaceutical,Tier 1,Natoli Scientific,Formulation,West Coast,San Diego,California,United States,10,"Major pharmaceutical manufacturer with tablet compression operations. Natoli eliminates sticking, picking, and capping issues during high-volume production."
