Company,Website,Phone,City,State,Territory,LinkedIn,Natoli_Fit,Industry,Re_Engagement_Focus
"4EXCELSIOR","http://www.4excelsior.com","234-567-8901","San Diego","CA","West","https://www.linkedin.com/company/4excelsior","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"4LIFE RESEARCH","http://www.4life.com","345-678-9012","Salt Lake City","UT","Rocky Mountain","https://www.linkedin.com/company/4life-research","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"A & J MACHINE & WELDING","http://www.ajmachine.com","","","","International","","Engineering","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"A 2 F INDUSTRIA FARMACEUTICA LTDA","http://www.a2f.com.br","55-11-1234-5678","Ṣo Paulo","SP","International","https://www.linkedin.com/company/a2f","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"A. VOGEL","https://www.avogel.com","41-61-313-90-90","Switzerland","","International","https://www.linkedin.com/company/a-vogel","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"A. VOGEL AG","https://www.avogel.ch","41-61-313-90-90","Switzerland","","International","https://www.linkedin.com/company/a-vogel-ag","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"A/S GEA FARMACEUTISK FABRIK","http://www.gea.com","45-1234-5678","Copenhagen","DK","International","https://www.linkedin.com/company/gea-group","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"ABBOTT - FRANCE","https://www.abbott.com","-98","Paris","IDF","International","https://www.linkedin.com/company/abbott","Scientific","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"ABBOTT LABORATORIES - CANADA","https://www.abbott.ca","905-851-2000","Toronto","ON","Canada","https://www.linkedin.com/company/abbott/","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"ABBOTT LABORATORIES - TURKEY","https://www.abbott.com.tr","0212-335-4000","Istanbul","XX","International","https://www.linkedin.com/company/abbott/","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"ABBOTT LABORATORIES - UK","https://www.abbott.co.uk","020-7930-1234","Maidenhead","XX","International","https://www.linkedin.com/company/abbott/","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
"ABBOTT LABORATORIES INDONESIA","https://www.abbott.co.id","-50538","Jakarta","DKI Jakarta","International","https://www.linkedin.com/company/abbott/","Both","Pharma","Look for: FDA registration, in-house tablet lines, tooling replacement cycles"
