Company Name,# Employees,Industry,Website,Company Linkedin Url,Facebook Url,Twitter Url,Company Street,Company City,Company State,Company Country,Company Postal Code,Company Address,Company Phone,Annual Revenue,SIC Codes,NAICS Codes,Founded Year,Subsidiary of
Mimosa Mining Company,550,mining & metals,,http://www.linkedin.com/company/mimosa-mining-company,https://facebook.com/implats,https://twitter.com/implats,,Harare,Harare Province,Zimbabwe,,"Harare, Harare Province, Zimbabwe",'+27 11 731 9000,7321555000,1000,,1966,
McHenry County College,700,higher education,http://www.mchenry.edu,http://www.linkedin.com/school/mchenry-county-college,https://facebook.com/pages/Crystal-Lake-IL/McHenry-County-College/70902962344,https://twitter.com/mcc_edu,8900 US Highway 14,Crystal Lake,Illinois,United States,60012,"8900 US Highway 14, Crystal Lake, Illinois, United States, 60012",'+1 815-455-3700,9900000,8211,61121,1967,
Composites One,660,logistics & supply chain,http://www.compositesone.com,http://www.linkedin.com/company/composites-one,https://facebook.com/CompositesOne,https://twitter.com/compositesone,955 National Pkwy,Schaumburg,Illinois,United States,60173-5149,"955 National Pkwy, Schaumburg, Illinois, United States, 60173-5149",'+1 800-621-8003,200000000,5085,,1999,
Turner Industries,19000,construction,http://www.turner-industries.com,http://www.linkedin.com/company/turner-industries,https://facebook.com/TurnerIndustries,https://twitter.com/turnerind,8687 United Plaza Boulevard,Baton Rouge,Louisiana,United States,70809,"8687 United Plaza Boulevard, Baton Rouge, Louisiana, United States, 70809",'+1 225-922-5050,2700000000,1731,23713,1961,
Augusta University Health,1400,hospital & health care,,http://www.linkedin.com/company/aug-health,https://www.facebook.com/wellstarhealthsystem,https://twitter.com/WellStarHealth,1120 15th St,Augusta,Georgia,United States,30912,"1120 15th St, Augusta, Georgia, United States, 30912",'+1 770-956-7827,914479000,8011,62111,2000,
PQ Corporation,2300,chemicals,http://www.pqcorp.com,http://www.linkedin.com/company/pq-corporation,,,840 Valley Forge Rd,Phoenixville,Pennsylvania,United States,19460-2671,"840 Valley Forge Rd, Phoenixville, Pennsylvania, United States, 19460-2671",'+1 610-651-4200,704493000,2899,32513,1815,
Lummus Technology,1700,management consulting,http://www.lummustechnology.com,http://www.linkedin.com/company/lummustechnology,,,5825 N Sam Houston Pkwy W,Houston,Texas,United States,77086-1497,"5825 N Sam Houston Pkwy W, Houston, Texas, United States, 77086-1497",'+1 281-368-3116,500000000,3559,32511,1907,Haldia Petrochemicals Ltd (haldiapetrochemicals.com)
Bezalel Academy of Art and Design,520,higher education,http://www.bezalel.ac.il,http://www.linkedin.com/school/bezalel-academy-of-arts-and-design-jerusalem,https://facebook.com/bezalelacademyen,https://twitter.com/BezalelAcademy,,,Illinois,United States,,"Illinois, United States",'+62 859-2418-9242,362000,8299,61131,1906,
Sundance Institute,590,media production,http://www.sundance.org,http://www.linkedin.com/company/sundanceorg,http://www.facebook.com/sundance,https://twitter.com/sundancefest,1825 Three Kings Drive,Park City,Utah,United States,84060,"1825 Three Kings Drive, Park City, Utah, United States, 84060",'+1 310-360-1981,45006000,8399,81321,1981,AMC Networks (amcnetworks.com)
PDVSA Petrocedeño S.A.,1400,oil & energy,http://www.petrocedeno.com,http://www.linkedin.com/company/pdvsa-petrocede-o-s.a.,,,6363 Oklahoma 66,Tulsa,Oklahoma,United States,74131,"6363 Oklahoma 66, Tulsa, Oklahoma, United States, 74131",,,1311,21112,1999,
"Thompson Industrial Services, LLC",1000,environmental services,http://www.thompsonind.com,http://www.linkedin.com/company/thompsonind,https://www.facebook.com/pages/Thompson-Industrial-Services/125803017496732,https://twitter.com/ThompsonInd,104 N Main St,Sumter,South Carolina,United States,29150,"104 N Main St, Sumter, South Carolina, United States, 29150",'+1 803-934-0138,5015000,1389,23899,1986,Clean Harbors (cleanharbors.com)
The Asia Foundation,810,nonprofit organization management,http://www.asiafoundation.org,http://www.linkedin.com/company/the-asia-foundation,https://facebook.com/pages/The-Asia-Foundation/75896127904,https://twitter.com/Asia_Foundation,465 California St,San Francisco,California,United States,94104,"465 California St, San Francisco, California, United States, 94104",'+1 415-982-4640,113200000,8399,81331,1954,
Catalyst Clinical Research,960,research,http://www.catalystcr.com,http://www.linkedin.com/company/catalyst-clinical-research-llc,https://facebook.com/CatalystClinicalResearchLLC/,https://twitter.com/catalystcrnc,2528 Independence Blvd,Wilmington,North Carolina,United States,28412-2590,"2528 Independence Blvd, Wilmington, North Carolina, United States, 28412-2590",'+1 919-648-0668,153000000,8731,54171,2013,NovaQuest Capital Management (novaquest.com)
ScanSource Catalyst,2300,wholesale,http://www.scansourcecatalyst.com,http://www.linkedin.com/company/catalyst-telecom,,,6 Logue Ct,Greenville,South Carolina,United States,29615,"6 Logue Ct, Greenville, South Carolina, United States, 29615",'+1 800-944-2432,2974037000,,,,
"NGK Ceramics USA, Inc.",640,automotive,http://www.ngkceramics.com,http://www.linkedin.com/company/ngk-ceramics,https://www.facebook.com/ngkceramicsusa,,119 Mazeppa Road,Mooresville,North Carolina,United States,28115,"119 Mazeppa Road, Mooresville, North Carolina, United States, 28115",'+1 704-664-7000,,3399,33149,1988,
Coastal Chemical,510,chemicals,http://www.coastalchem.com,http://www.linkedin.com/company/coastal-chemical-company,,,5300 Memorial Dr,Houston,Texas,United States,77007,"5300 Memorial Dr, Houston, Texas, United States, 77007",'+1 800-535-3862,50000000,2899,32419,1958,
Standard Industries,20000,mechanical or industrial engineering,http://www.standardindustries.com,http://www.linkedin.com/company/standardindustries,https://facebook.com/standardind,,9 West 57th Street,New York,New York,United States,10019,"9 West 57th Street, New York, New York, United States, 10019",'+1 212-821-1600,11000000000,3531,23611,1886,
"Ecolab, Purolite Resins",48000,mechanical or industrial engineering,http://www.purolite.com,http://www.linkedin.com/company/purolite,https://www.facebook.com/puroliteresins,https://twitter.com/purolitecorp?lang=en,1 Ecolab Pl,Saint Paul,Minnesota,United States,55102-2739,"1 Ecolab Pl, Saint Paul, Minnesota, United States, 55102-2739",'+1 610-200-6798,400000000,2869,32599,1981,Ecolab (ecolab.com)
Ecoservices,920,chemicals,http://www.ecovyst.com,http://www.linkedin.com/company/eco-services-operations-llc,,,1301 Airline Hwy,Baton Rouge,Louisiana,United States,70805,"1301 Airline Hwy, Baton Rouge, Louisiana, United States, 70805",'+1 484-617-1200,723436000,2869,32513,1885,
Catalyst Family,1300,government administration,http://www.catalystfamily.org,http://www.linkedin.com/company/catalyst-familyinc,,,350 Woodview Ave,Morgan Hill,California,United States,95037,"350 Woodview Ave, Morgan Hill, California, United States, 95037",,102568000,,,1976,
Aurorium,740,chemicals,http://www.aurorium.com,http://www.linkedin.com/company/aurorium,,,201 N Illinois St,Indianapolis,Indiana,United States,46204-1904,"201 N Illinois St, Indianapolis, Indiana, United States, 46204-1904",'+1 317-247-8141,636819000,2899,32519,,
