Company Name,# Employees,Industry,Website,Why it Fits,Company Linkedin Url,Company Phone,Annual Revenue,Founded Year,Subsidiary of,,
AMVAC Chemical Corporation,400,Industrial & Agricultural Chemicals,http://www.amvac.com,Tabletized Agrochemicals,http://www.linkedin.com/company/amvac-us,'+1 888-462-6822,417000000,1945,American Vanguard Corporation,,
Bio-Clean Products,1,Industrial Cleaning Chemicals,http://www.bio-cleanproducts.com,Enzyme & Septic Tablets,http://www.linkedin.com/company/bio-clean-products,'+1 702-472-7494,,,,,
"Chem Lab Products, Inc.",55,Industrial Sanitation,https://www.chemlabinc.com/,Cleaning Tablets,http://www.linkedin.com/company/chemlabsltd,951-842-5479,6021000,1995,,,
Chemco Corporation,69,Industrial Chemicals,http://www.echemco.com,Tabletized Chemical Compounds,http://www.linkedin.com/company/chemco-corp,'+1 305-623-4445,,1987,,,
GMP Products Inc,3,Nutraceutical Manufacturing,http://www.gmpvitamin.com,Specialty Tablets,http://www.linkedin.com/company/gmp-products-inc,'+1 626-810-8760,,,,,
"Hasa, Inc.",240,Pool & Water Treatment,http://www.hasa.com,Chlorine Tablets,http://www.linkedin.com/company/hassapools,'+1 661-259-5848,15000000,1964,GHK Capital Partners LP (ghk.com),,
Lief Labs,110,Nutraceutical Brand,http://www.lieflabs.com,Gummy Supplements/ Possible Tablets,http://www.linkedin.com/company/lieflabs,'+1 661-775-2500,60000000,2008,,,
Magno-Humphries Labs,13,OTC & Nutraceutical Manufacturing,http://www.magno-humphries.com,Tablet Compression,http://www.linkedin.com/company/magno-humphries-labs,'+1 800-935-6737,10000000,1980,,,
"Metagenics, Inc.",1100,Nutraceutical Manufacturing,http://www.metagenics.com,Solid Dose Tablets,http://www.linkedin.com/company/metagenics,'+1 800-692-9400,375200000,1983,Gryphon Investors (gryphon-inv.com),,
Natural Factors,540,Nutraceutical Manufacturing,http://www.naturalfactors.com,Solid Dose Tablets,http://www.linkedin.com/company/natural-factors,'+1 800-663-8900,29186000,1950,,,
Nutrex Hawaii,7,Nutraceutical Manufacturing,http://www.nutrex-hawaii.com,Algae Tablets,http://www.linkedin.com/company/nutrex-hawaii,'+1 808-326-1353,49501000,1990,,,
Paragon Laboratories,66,Nutraceutical CDMO,http://www.paragonlabsusa.com,Contract Tablet Manufacturing,http://www.linkedin.com/company/paragon-laboratories,'+1 800-231-3670,25330000,1971,,,
Pharmatek Laboratories,68,Pharmaceutical CDMO,http://www.pharmateksol.com,cGMP Solid Dose,http://www.linkedin.com/company/pharmatek-laboratories-inc-,'+1 510-579-7650,,1999,,,
Pharmavite LLC,1600,Nutraceutical Manufacturing,http://www.pharmavite.com,Solid Dose Tablets,http://www.linkedin.com/company/pharmavite,'+1 818-221-6200,748000000,1971,"Otsuka Medical Devices Co., Ltd. (otsuka.com)",,
Shaklee Corporation,3400,Nutraceutical Brand,http://www.shaklee.com,Mixed Outsource,http://www.linkedin.com/company/shaklee-corporation,'+1 925-924-2205,500000000,1956,,,
SmartyPants Vitamins,66,Nutraceutical Brand,http://www.smartypantsvitamins.com,CDMO Tablets,http://www.linkedin.com/company/smartypantsvitamins,'+1 888-751-2291,40000000,2011,Unilever (unilever.com),,
Vitamer Labs,4,Nutraceutical CDMO,http://www.vitamer.com,Contract Tablet Manufacturing,http://www.linkedin.com/company/vitamer-laboratories,'+1 800-432-8355,,1947,,,
Irwin Naturals,,Nutraceutical Brand,https://irwinnaturals.com,Mixed Manufacturing,https://linkedin.com/company/irwin-naturals,1.888.223.1548,,,,,
Central Garden & Pet Company,,Consumer & Industrial Chemicals,https://central.com,Tabletized Pest & Pool Chem,https://linkedin.com/company/central-garden-&-pet,844-718-1702,West Coast,Fernando Delgado,pest control tablets,100,"Offers pest control products including tablets, suitable for tablet press and formulation services."
