Company Name,Lists,# Employees,Industry,Website,Company Linkedin Url,Facebook Url,Twitter Url,Company Street,Company City,Company State,Company Country,Company Postal Code,Company Address,Company Phone,Annual Revenue,Number of Retail Locations,SIC Codes,NAICS Codes,Founded Year,Tier_Engineering,Tier_Scientific,Industry_Category,Why_Fit
Palmer Candy Company,Midwest,250,food production,http://www.palmercandy.com,http://www.linkedin.com/company/palmer-candy-company,https://www.facebook.com/PalmerCandyCompany,https://twitter.com/palmercandycom1,2600 N US Highway 75,Sioux City,Iowa,United States,51105-2464,"2600 N US Highway 75, Sioux City, Iowa, United States, 51105-2464",'+1 712-258-5543,20000000,1,2099,31134,1878,Tier-1,Tier-2,Confectionery,Solid confectionery/food production → strong Engineering fit
Bahama Buck's Franchise Corporation,,640,food & beverages,http://www.bahamabucks.com,http://www.linkedin.com/company/bahamabucks,https://www.facebook.com/bahamabucks,https://twitter.com/bahamabucks,5123 69th Street,Lubbock,Texas,United States,79424,"5123 69th Street, Lubbock, Texas, United States, 79424",'+1 806-771-2189,3572000,56,2099,72233,1990,Tier-1,Tier-2,Food & Beverage,Solid confectionery/food production → strong Engineering fit
Jelly Belly Candy Company,,820,food production,http://www.jellybelly.com,http://www.linkedin.com/company/jelly-belly-candy-company,https://www.facebook.com/JellyBellyUSA/,https://twitter.com/jellybellyusa,1 Jelly Belly Lane,Fairfield,California,United States,94533,"1 Jelly Belly Lane, Fairfield, California, United States, 94533",'+1 707-399-2390,171800000,7,2099,31134,1898,Tier-1,Tier-2,Confectionery,Solid confectionery/food production → strong Engineering fit
Cirkul,,760,food production,http://www.drinkcirkul.com,http://www.linkedin.com/company/cirkul,https://facebook.com/lifefuels,https://twitter.com/DrinkCirkul,4914 Joanne Kearney Blvd,Tampa,Florida,United States,33619-8601,"4914 Joanne Kearney Blvd, Tampa, Florida, United States, 33619-8601",'+1 844-424-7585,378400000,,3632,33992,2016,Tier-1,Tier-2,Food & Beverage,Solid confectionery/food production → strong Engineering fit
NutraSweet,,230,food & beverages,http://www.nutrasweet.com,http://www.linkedin.com/company/the-nutrasweet-company,https://business.facebook.com/ThemeRexStudio/,https://twitter.com/ThemeREX_net,1762 Lovers Ln,Augusta,Georgia,United States,30901-1869,"1762 Lovers Ln, Augusta, Georgia, United States, 30901-1869",,,,2099,31193,,Tier-1,Tier-2,Food & Beverage,Solid confectionery/food production → strong Engineering fit
Snappy's,,130,food & beverages,http://www.mysnappys.com,http://www.linkedin.com/company/snappy's,https://www.facebook.com/snappysfresh,https://twitter.com/Snappysgotit,109 W Presqueisle St,Philipsburg,Pennsylvania,United States,16866,"109 W Presqueisle St, Philipsburg, Pennsylvania, United States, 16866",'+1 814-342-3360,1463000,,5411,4451,,Tier-1,Tier-2,Food & Beverage,Solid confectionery/food production → strong Engineering fit
Stuckey's,,130,food & beverages,http://www.stuckeys.com,http://www.linkedin.com/company/stuckey-s-corporation,https://facebook.com/StuckeysCorporation,https://twitter.com/stuckeyspecans,707 S Main St,Wrens,Georgia,United States,30833-4527,"707 S Main St, Wrens, Georgia, United States, 30833-4527",'+1 800-423-6171,13000000,3,2099,44529,1937,Tier-1,Tier-2,Food & Beverage,Solid confectionery/food production → strong Engineering fit
Rocky Mountain Chocolate Factory,,140,food production,http://www.rmcf.com,http://www.linkedin.com/company/rockymountainchocolatefactory,https://www.facebook.com/rockymountainchocolate,https://twitter.com/rockymtnchocinc,265 Turner Dr,Durango,Colorado,United States,81303,"265 Turner Dr, Durango, Colorado, United States, 81303",'+1 970-259-1408,29579000,2,2099,3113,1981,Tier-1,Tier-2,Food & Beverage,Solid confectionery/food production → strong Engineering fit
South Seas,,320,hospitality,http://www.southseas.com,http://www.linkedin.com/company/south-seas,https://www.facebook.com/SouthSeasResort,https://twitter.com/SSIslandResort,5400 Plantation Rd,Captiva,Florida,United States,33924,"5400 Plantation Rd, Captiva, Florida, United States, 33924",'+1 866-565-5089,5778000,4,7011,72121,1972,Tier-3,Tier-3,Other,Limited relevance to tooling or compaction → low priority
Garrett Popcorn Shops®,Midwest,420,food & beverages,http://www.garrettpopcorn.com,http://www.linkedin.com/company/garrett-popcorn-shops,https://facebook.com/GarrettPopcornUSA,https://twitter.com/garrettpopcorn,401 N Michigan Ave,Chicago,Illinois,United States,60611,"401 N Michigan Ave, Chicago, Illinois, United States, 60611",'+1 888-476-7267,700000000,20,2099,31111,1949,Tier-1,Tier-2,Food & Beverage,Solid confectionery/food production → strong Engineering fit
