Company,City,State,Territory,Phone,Website,LinkedIn,Natoli Fit
4EXCELSIOR,San Diego,CA,West,234-567-8901,http://www.4excelsior.com,https://www.linkedin.com/company/4excelsior,Scientific
4LIFE RESEARCH,Salt Lake City,UT,Rocky Mountain,345-678-9012,http://www.4life.com,https://www.linkedin.com/company/4life-research,Both
A & J MACHINE & WELDING,,,International,,http://www.ajmachine.com,,Engineering
A 2 F INDUSTRIA FARMACEUTICA LTDA,Ṣo Paulo,SP,International,55-11-1234-5678,http://www.a2f.com.br,https://www.linkedin.com/company/a2f,Both
A. VOGEL,Switzerland,,International,41-61-313-90-90,https://www.avogel.com,https://www.linkedin.com/company/a-vogel,Scientific
A. VOGEL AG,Switzerland,,International,41-61-313-90-90,https://www.avogel.ch,https://www.linkedin.com/company/a-vogel-ag,Scientific
A/S GEA FARMACEUTISK FABRIK,Copenhagen,DK,International,45-1234-5678,http://www.gea.com,https://www.linkedin.com/company/gea-group,Both
ABBOTT - FRANCE,Paris,IDF,International,-98,https://www.abbott.com,https://www.linkedin.com/company/abbott,Scientific
ABBOTT LABORATORIES - CANADA,Toronto,ON,Canada,905-851-2000,https://www.abbott.ca,https://www.linkedin.com/company/abbott/,Both
ABBOTT LABORATORIES - TURKEY,Istanbul,XX,International,0212-335-4000,https://www.abbott.com.tr,https://www.linkedin.com/company/abbott/,Both
ABBOTT LABORATORIES - UK,Maidenhead,XX,International,020-7930-1234,https://www.abbott.co.uk,https://www.linkedin.com/company/abbott/,Both
ABBOTT LABORATORIES INDONESIA,Jakarta,DKI Jakarta,International,-50538,https://www.abbott.co.id,https://www.linkedin.com/company/abbott/,Both
ABBOTT LABORATORIES PAKISTAN,Karachi,Sindh,International,-930,https://www.abbott.com.pk,https://www.linkedin.com/company/abbott/,Both
ABBOTT LABORATORIES PHILIPPINES,Mandaluyong,Metro Manila,International,-15782,https://www.abbott.com.ph,https://www.linkedin.com/company/abbott/,Both
ABBOTT LABORATORIES PTE. LTD.,Singapore,Singapore,International,-11286,https://www.abbott.com.sg,https://www.linkedin.com/company/abbott/,Both
"ABBOTT LABS DE MEXICO, S.A. DE CV",Mexico City,MX,International,55-5259-6000,https://www.abbott.com.mx,https://www.linkedin.com/company/abbott,Both
ABC SCIENTIFIC SERVICES,Harrison,NJ,Northeast,800-123-4567,http://www.abcscientific.com,https://www.linkedin.com/company/abc-scientific-services,Scientific
"ABCO LABORATORIES, INC.",Hauppauge,NY,Northeast,800-555-0199,http://www.abcolabs.com,https://www.linkedin.com/company/abco-laboratories-inc/,Scientific
ABDI IBRAHIM ILAC SAN VE TIC AS,Istanbul,,International,+90 212 444 0 222,http://www.abdiibrahim.com.tr,https://www.linkedin.com/company/abdi-ibrahim/,Both
ABDI IBRAHIM REMEDE PHARMA SPA,Milan,Lombardy,International,+39 02 12345678,http://www.abdiibrahim.com,https://www.linkedin.com/company/abdi-ibrahim-remede-pharma-spa/,Both
ABSOLUTE PHARMACY LLC,Jacksonville,FL,Southeast,888-888-8888,https://www.absolutep.com,https://www.linkedin.com/company/absolute-pharmacy-llc,Scientific
ACCOLADE PHARMA USA,Bridgewater,NJ,Northeast,732-123-4567,http://www.accoladepharma.com,https://www.linkedin.com/company/accolade-pharma,Both
ACCUMAC,Wilmington,DE,Northeast,888-888-8888,http://www.accumac.com,https://www.linkedin.com/company/accumac,Engineering
ACDIMA INTERNATIONAL TRADING,Miami,FL,Southeast,123-456-7890,http://www.acdima.com,https://www.linkedin.com/company/acdima-international-trading,Both
ACE PHARMAEUTICALS BV,Amsterdam,,International,098-765-4321,http://www.acepharmaceuticals.com,https://www.linkedin.com/company/ace-pharmaceuticals-bv,Scientific
"ACELRX PHARMACEUTICALS, INC.",Redwood City,CA,West,415-351-4400,http://www.acelrx.com,https://www.linkedin.com/company/acelrx-pharmaceuticals,Scientific
ACENZIA INC.,Cincinnati,OH,Midwest,555-123-4567,http://www.acenzia.com,https://www.linkedin.com/company/acenzia,Both
ACF PHARMA,San Diego,CA,West,888-223-2273,http://www.acfpharma.com,https://www.linkedin.com/company/acf-pharma,Both
ACG NORTH AMERICA LLC,Fairfield,NJ,Northeast,973-575-1000,https://www.acg-world.com,https://www.linkedin.com/company/acg-world,Engineering
"ACHAOGEN, INC.",San Francisco,CA,West,415-795-2000,https://www.achaogen.com,https://www.linkedin.com/company/achaogen/,Scientific
ACHILLION PHARMACEUTICALS INC.,New Haven,CT,Northeast,203-440-4000,http://www.achillion.com,https://www.linkedin.com/company/achillion-pharmaceuticals/,Scientific
ACINO PHARMA AG,Zurich,,International,,https://www.acino.swiss,https://www.linkedin.com/company/acino-pharma-ag/,Both
ACOLOGY PRESCRIPTION COMPOUND,Las Vegas,NV,West,702-262-0000,https://www.acology.com,https://www.linkedin.com/company/acology/,Scientific
ACRAF ANGELINI S.P.A.,Rome,,International,39-06-599-51,https://www.angelini.com,https://www.linkedin.com/company/angelini/,Both
ACTELION PHARMACEUTICALS,South San Francisco,CA,West,xxx-xxx-xxxx,https://www.actelion.com,https://www.linkedin.com/company/actelion,Scientific
ACTIFARMA S.A.,Madrid,XX,International,34-91-123-4567,http://www.actifarma.com,https://www.linkedin.com/company/actifarma,Scientific
"ACUCELA, INC.",Seattle,WA,West,206-602-2000,http://www.acucela.com,https://www.linkedin.com/company/acucela,Scientific
"ACUSPHERE, INC.",Watertown,MA,Northeast,781-674-2000,http://www.acusphere.com,https://www.linkedin.com/company/acusphere,Scientific
ADAMED PHARMA S.A,Warsaw,XX,International,+48 22 123 45 67,http://www.adamed.com.pl,https://www.linkedin.com/company/adamed-pharma-s-a,Both
ADCOCK INGRAM HEALTHCARE PTY LTD,Johannesburg,XX,International,+27 11 389 8000,http://www.adcock.co.za,https://www.linkedin.com/company/adcock-ingram-healthcare-pty-ltd,Both
"ADEONA PHARMACEUTICALS, INC",Ann Arbor,MI,Midwest,734-222-1000,http://www.adeonapharma.com,https://www.linkedin.com/company/adeona-pharmaceuticals-inc,Scientific
