Company Name,# Employees,Industry,Website,Company Linkedin Url,Facebook Url,Twitter Url,Company Street,Company City,Company State,Company Country,Company Postal Code,Company Address,Keywords,Company Phone,Annual Revenue,SIC Codes,NAICS Codes,Founded Year,Subsidiary of
LG Chem,15000,chemicals,http://www.lgchem.com,http://www.linkedin.com/company/lgchem,https://www.facebook.com/LGChem,,,,Seoul,South Korea,150-010,"Seoul, South Korea, 150-010","petrochemicals, advanced materials, battery materials, anode binder, cathode material, pharmaceuticals, vaccine, diagnostics, aesthetics, bio plastics, chemical manufacturing, green materials, circular plastics economy, bio-based products, hvo/saf biofuel plant, advanced oled materials, chemical recycling partnership, energy storage, eco-friendly beauty packaging, sustainability, renewable biomass power plant, corporate responsibility, blue hydrogen production, eco-friendly materials, consumer electronics materials, sustainable manufacturing, lithium-ion batteries, supply chain sustainability, pharmaceutical apis, semiconductor materials, carbon neutrality, compostable brand launch, medical devices, environmental responsibility, biosimilars, plant-based abs, circular economy, r&d innovation, solar panel materials, bio-circular products, energy solutions, patent portfolio, b2b, next-gen energy storage, green chemistry, electric vehicle batteries, high-performance ssbr, renewable energy materials, automotive power semiconductors paste, supercritical pyrolysis plant, climate action, ccu technology for blue hydrogen, global r&d centers, bio-material certification, electric vehicles, sustainable chemicals, collaborative innovation, resin and synthetic rubber manufacturing, chemical recycling, lithium extraction, renewable energy, technological advancement, biopharmaceuticals, bio-circular sap, circular economy initiatives, medical research, customer-centric, chemical products, next-generation insulators, industrial chemicals, supply chain management, oled materials, next-generation batteries, technological innovation, environmental impact reduction, climate change mitigation, sustainable development, energy efficiency, sustainable growth, chemicals, electronics materials, ocean-bound plastic initiative, global manufacturing, cathode materials partnership, energy transition, automotive supplies, automotive industry supplies, pharmaceutical development, bio-balanced products, market expansion, recycling, polymer manufacturing, energy storage systems, petrochemical products, raw material production, carbon reduction, high-performance plastics, battery technology, life sciences, digital crm system lg chem on, environmental strategy, green technology, open innovation, esg performance, new drug pipeline, human rights compliance, climate change initiatives, raw material sourcing, advanced manufacturing, synthetic rubber production, polymer solutions, specialty chemicals, medical solutions, consumer healthcare, automotive components, transparent films, ethylene production, chemical engineering, circular packaging solutions, waste management solutions, product safety standards, compliance management, workplace safety, long-term sustainability goals, global business networks, investor relations, financial transparency, stock performance, corporate governance, market leadership, innovation culture, competitive advantage, customer-centric solutions, technological advancements, life chemistry solutions, e-commerce, healthcare, manufacturing, distribution, consumer products & retail, transportation & logistics, energy & utilities, construction & real estate, material science, medical, oil & energy, environmental services, renewables & environment, hospital & health care, clean energy & technology, logistics & supply chain, consumer internet, consumers, internet, information technology & services, health care, health, wellness & fitness, mechanical or industrial engineering",'+82 23-773-0981,33156579000,2869,32521,1947,
Gopher Resource,350,renewables & environment,http://www.gopherresource.com,http://www.linkedin.com/company/gopher-resource-corporation,https://www.facebook.com/gopherresource,,685 Yankee Doodle Road,Eagan,Minnesota,United States,55121,"685 Yankee Doodle Road, Eagan, Minnesota, United States, 55121","lead recycling, environmental health, safety, environmental stewardship, continuous manufacturing, battery recycling, recycling of polypropylene, continuous improvement, u.s. department of energy grant, regulatory compliance, closed-loop recycling, materials recovery technology, environmental initiatives, automotive and industrial batteries, recycling process, safety protocols, environmental impact, recycling rate, services, lead batteries, technological innovation, advanced recycling technology, lead recovery technology, circular economy, high-quality reusable resources, sustainable practices, environmental safety standards, materials recovery facilities, smart water use, scrum methodology, community recycling programs, safety and health, innovation, cr3 stewardship, advanced facilities, lead recovery, b2b, high recycling rate, community engagement, government funding, u.s. department of defense funding, waste reduction, industry leadership, research and development, lead battery recycling, environmental solutions, battery lifecycle management, industry innovation, advanced monitoring, sustainable stewardship, government, recycling, polypropylene reuse, environmental services, reusable materials, research & development, renewables & environment",'+1 651-454-3310,10560000,4953,56292,1946,ECP (Energy Capital Partners) (ecpgp.com)
MK Battery,82,electrical/electronic manufacturing,http://www.mkbattery.com,http://www.linkedin.com/company/mk-battery,https://www.facebook.com/MKBatteryPowered,https://twitter.com/MK_Battery,1631 S Sinclair St,Anaheim,California,United States,92806,"1631 S Sinclair St, Anaheim, California, United States, 92806","sealed lead acid batteries, appliances, electrical, & electronics manufacturing, electrical/electronic manufacturing, mechanical or industrial engineering, battery stores, shopping",'+1 800-372-9253,25000000,"1382, 4900, 1623",,1983,East Penn Manufacturing Co. (eastpennmanufacturing.com)
mophie,140,electrical/electronic manufacturing,http://www.mophie.com,http://www.linkedin.com/company/mophie,https://facebook.com/mophie,https://twitter.com/mophie,15101 Red Hill Avenue,Tustin,California,United States,92780,"15101 Red Hill Avenue, Tustin, California, United States, 92780","mophie space pack, mophie juice pack powerstation pro, mophie juice pack air, mophie juice pack powerstation, mophie juice pack plus, mophie juice pack reserve, mophie juice pack pro, mophie juice pack for smartphones, mophie juice pack h2pro, hardware + software, computers & electronics manufacturing, sleek design, power banks for iphone, luxury tech accessories, retail, charging accessories for smartphones, power banks with high capacity, car charging solutions, power banks with internal batteries, designer power banks, wireless chargers, fashion collaborations, charging accessories, luxury accessories, uber power delivery campaign, power on-the-go, magnetic chargers, charging hubs, portable chargers, durable accessories, wireless power banks, b2c, customer service, fast charging power banks, integrated cables, multi-device charging, reliable portable power, e-commerce, magsafe compatible power banks, limited edition power accessories, charging cables, wireless charging technology, magsafe compatible, manufacturing, consumer electronics, usb-c cables, usb-c power delivery, luxury portable chargers, portable travel chargers with magsafe, wireless charging pads, power banks for travel, distribution, usb-c power banks, travel chargers, mobile device accessories, portable power stations, qi2 wireless charging, car chargers, wireless power banks with stand, fashion collaborations with valentino, charitable editions, on-the-go charging solutions, transportation & logistics, computer and peripheral equipment manufacturing, fast charging, power banks with fast charging, travel-friendly chargers, power banks with integrated cables, power banks with multiple ports, charity editions, magsafe accessories, power station, power stations, battery cases, d2c, compact power banks, power banks, qi2 wireless charging technology, charity support editions, reliable power, mobile power solutions, fast charging technology, wired power banks, charging stations, desktop charging stations, portable charging stations, juice pack, 3-in-1 travel charger, usb-c charging, lightning cable, magsafe compatibility, desktop wireless chargers, travel charging solutions, charging pads, magnetic charging, battery capacity, powerstation, powerstation mini, travel collection, iphone cases, charging collections, home charging stations, office charging stations, electronics accessories, mobile device charging, quick charge technology, high capacity batteries, smart charging technology, portable power solutions, dual port power bank, triple port power bank, car adapters, wall adapters, cables essentials, apple accessories, limited edition chargers, wireless charging pad, charging docks, power supply solutions, charging devices, battery packs, non-profit, consumer products & retail, computer hardware, computer software, information technology & services, electrical/electronic manufacturing, mechanical or industrial engineering, consumer internet, consumers, internet, hardware, nonprofit organization management",'+1 888-866-7443,35000000,3694,33411,2005,GEAR4 (gear4.com)
Fujitsu,124000,information technology & services,http://www.fujitsu.com,http://www.linkedin.com/company/fujitsu,https://www.facebook.com/FujitsuICT,https://twitter.com/Fujitsu_Global,Solihull Parkway,,England,United Kingdom,B37 7YN,"Solihull Parkway, England, United Kingdom, B37 7YN","ict, cloud computing, system integration, software, hardware, notebooks, computers, tablets, it services, servers, infrastructure, internet of things, digital transformation, artificial intelligence, it security, mobile workplace, hybrid it, it services & it consulting, hardware manufacturing, fujitsu ai agent platform, fujitsu green data centers, quantum computing, consulting, trustworthy technology, cybersecurity, fujitsu autonomous mobility, enterprise cloud, research and development, fujitsu network solutions, trust in technology, fujitsu smart city solutions, sustainability, sustainable it, network solutions, fujitsu smart factory solutions, services, it infrastructure, fujitsu iot for manufacturing, fujitsu wayfinders, financial services, fujitsu industrial metaverse, industry-specific it solutions, energy & utilities, fujitsu human centric experience design, fujitsu public sector digitalization, cyber security, information technology, global technology leader, advanced technologies, it modernization, computer systems design and related services, enterprise software, digital innovation, fujitsu ai for healthcare, digital business platforms, public sector, finance, cybersecurity services, fujitsu environmental management solutions, fujitsu cybersecurity solutions for critical infrastructure, ai-powered solutions, healthcare, industry-specific solutions, cloud-native applications, sustainable business practices, industry solutions, digital platforms, business consulting, data center management, fujitsu digital twin, fujitsu blockchain solutions for supply chain, fujitsu smart manufacturing, retail, global it leader, managed services, consulting services, ai and data security, data centers, cloud infrastructure, public sector solutions, fujitsu digital health solutions, government, fujitsu human centric experience design (hxd), sustainable technology, managed cloud services, fujitsu autonomous vehicles, fujitsu uvance, transportation & logistics, public sector digitalization, fujitsu quantum computing, environmental solutions, socio-economic impact, quantum-inspired computing, hardware products, operational efficiency, fujitsu connected infrastructure, collaborative innovation, it consulting, digital ecosystems, cloud services, innovation, information technology and services, ai solutions, cloud migration, data management, network security, digital annealer cloud service, b2b, sovereign cloud, manufacturing, collaborative r&d, medical big data, digital twin technology, customer experience, software development, fujitsu connected car solutions, digital innovation labs, global it solutions, big data analytics, big data, distribution, enterprises, computer software, information technology & services, mobile devices, mobile, internet, computer & network security, research & development, environmental services, renewables & environment, health care, health, wellness & fitness, hospital & health care, management consulting, internet service providers, internet infrastructure, mechanical or industrial engineering",'+44 800 321 1395,23817442000,7375,54151,1935,
Crown Battery,620,mechanical or industrial engineering,http://www.crownbattery.com,http://www.linkedin.com/company/crown-battery,https://www.facebook.com/crownbatterycorp,https://twitter.com/crownbattery,1445 Majestic Dr,Fremont,Ohio,United States,43420,"1445 Majestic Dr, Fremont, Ohio, United States, 43420","lead acid batteries, manufacturing, long-lasting batteries, high-capacity batteries, battery manufacturing, battery for mining, battery for material handling, transportation & logistics, agm batteries, battery for critical power, battery for heavy-duty applications, energy storage batteries, custom battery designs, battery for transportation, battery for cold storage, energy & utilities, b2b, motive power batteries, battery for industrial equipment, lithium-ion batteries, battery for fleet management, battery for railroads, battery for watercraft, battery performance, battery for stationary systems, distribution, power solutions, battery for electric vehicles, services, battery for backup power, industrial batteries, lead-acid batteries, battery for renewable energy, battery for underground mining, battery reliability, battery for golf carts, government, transportation_logistics, energy_utilities, mechanical or industrial engineering",'+1 419-334-7181,220000000,3691,33591,1926,
Continental Battery Systems,670,mechanical or industrial engineering,http://www.continentalbattery.com,http://www.linkedin.com/company/continental-battery-systems,https://facebook.com/ContinentalBattery/,,8585 N Stemmons Fwy,Dallas,Texas,United States,75247-3800,"8585 N Stemmons Fwy, Dallas, Texas, United States, 75247-3800","agm, conventional, gel batteries, automotive, commercial, trucking batteries, renewable energy, energy storage, motorcycle, marine, medical mobility batteries, golf batteries, powersport batteries, chargers, manufacturing, industrial equipment, battery innovation, sustainability, industrial batteries, battery supplier, innovation, battery distribution, battery sustainability, services, battery technology, lithium-ion batteries, b2c, power solutions, battery accessories, battery recycling, lead acid batteries, acquisitions, battery industry, marine power, industrial power, commercial batteries, off-grid solutions, battery solutions, automotive batteries, battery brands, b2b, battery network, customer service, e-commerce, deep cycle batteries, electric vehicle batteries, fleet batteries, reliable power, battery quality, renewable energy batteries, battery manufacturing, marine batteries, agm batteries, off-grid power, retail, distribution, clean energy & technology, environmental services, renewables & environment, oil & energy, mechanical or industrial engineering, consumer internet, consumers, internet, information technology & services, battery stores, shopping",'+1 800-442-0081,56800000,3691,33591,1932,H.I.G. Capital (hig.com)
"Universal Power Group, Inc.",72,electrical/electronic manufacturing,http://www.upgi.com,http://www.linkedin.com/company/universal-power-group,https://www.facebook.com/GoUPG/,https://twitter.com/goupg,120 Dividend Dr,Coppell,Texas,United States,75019-5161,"120 Dividend Dr, Coppell, Texas, United States, 75019-5161","sealed leadacid batteries, batteries of all chemistries, security products, wire, low voltage cable, custom battery packs, breakaway kits, power essentials, consumer batteries, charging solutions, gel batteries, appliances, electrical, & electronics manufacturing, retail, energy solutions for medical, iso 9001 certified, custom-engineered solutions, technological innovation, smart lithium-ion batteries, mission-critical power systems, off-grid solar batteries, intelligent battery management, smart batteries, value-added engineering, safety and performance, battery performance, energy, battery chargers, e-commerce, sealed lead-acid batteries, solar chargers, innovative energy solutions, medical device batteries, power solutions, custom batteries, supply chain management system, electrical equipment & components, b2b, energy storage, supply chain & logistics, supply chain, manufacturing, battery sourcing, risk management, battery manufacturing, performance optimization, battery safety, security system batteries, custom-engineered charging solutions, safety standards, high-performance power solutions, custom energy storage, performance batteries, battery industry leader, battery performance optimization, advanced battery chemistries, battery innovation, energy solutions for security, battery replacement, iso certification, energy storage solutions, custom energy storage solutions, battery solutions for critical needs, supply chain logistics, reliable quality, supply chain management, power supplies, supply chain capabilities, services, advanced chemistries, quality management, custom energy storage systems, battery performance testing, healthcare, reliable power, custom-engineered batteries, battery logistics, lithium-ion batteries, battery testing, battery quality assurance, engineering expertise, custom solutions, safety, performance, certified, innovative, electrical/electronic manufacturing, mechanical or industrial engineering, consumer internet, consumers, internet, information technology & services, oil & energy, logistics & supply chain, health care, health, wellness & fitness, hospital & health care",'+1 469-892-1122,83643000,3691,33591,1968,
Tomago Aluminium,1000,mining & metals,http://www.tomago.com.au,http://www.linkedin.com/company/tomago-aluminium,https://facebook.com/Tomago-Aluminium-Company-Pty-Ltd-1537628693218441/,,638 Tomago Road,Tomago,New South Wales,Australia,2322,"638 Tomago Road, Tomago, New South Wales, Australia, 2322","smelting & aluminium, mining, safety culture, aluminium alloying, energy efficiency, aluminium products, aluminium smelter, export to asia-pacific, aluminium electrolytic process, aluminium environmental footprint, renewable energy, environmental services, environmental standards, electrolytic reduction, aluminium capacity milestones, aluminium billets, human resources, b2b, manufacturing, innovation, potlines, distribution, capacity expansion, electricity consumption, aluminium applications, industrial manufacturing, sustainability, alumina and aluminum production and processing, industrial automation, local employment, export industry, safety record, employee benefits, aluminium environmental standards, community engagement, sustainable manufacturing, aluminium alloy production, aluminium smelting technology, aluminium ingots, continuous operation, aluminium market, regional economic impact, safety management, aluminium technology, aluminium production, joint venture, aluminium in automotive, aluminium in construction, aluminium export logistics, aluminium industry innovation, raw materials, raw material supply, primary aluminium, electrolysis, aluminium in aerospace, aluminium industry supply chain, alumina processing, bauxite, aluminium product diversification, aluminium recycling, energy-intensive manufacturing, aluminium slabs, pecheiney ap18 reduction cells, environmental responsibility, sustainable energy use, advanced reduction cells, alumina, primary aluminium production, sustainable aluminium, health and safety, environmental commitment, bauxite mining, alumina refining, electrolysis process, emission control, workplace giving program, safety training, community support, graduate programs, contractor compliance, energy consumption, aluminium export, local economy impact, 200 contractors, aluminium processing, continuous improvement, industrial innovation, aluminium casting, manufacturing process, ap22 technology, aluminium industry, worker health, job opportunities, staff development, potline operations, aluminium exports to asia, environmental safety, on-site health services, employee recognition, diverse workforce, career advancement, equity and inclusion, team dynamics, transportation & logistics, energy & utilities, renewables & environment, clean energy & technology, mechanical or industrial engineering, health & safety",'+61 2 4966 9669,978000000,3351,33131,1983,
"FDK INDONESIA, PT",110,electrical/electronic manufacturing,http://www.fdk.com,http://www.linkedin.com/company/fdk-indonesia-pt,,,,Bekasi,West Java,Indonesia,,"Bekasi, West Java, Indonesia","appliances, electrical, & electronics manufacturing, electrical/electronic manufacturing, mechanical or industrial engineering",'+1 408-432-8331,20946000,,,,
