Company Name,# Employees,Industry,Website,Company Linkedin Url,Facebook Url,Twitter Url,Company Street,Company City,Company State,Company Country,Company Postal Code,Company Address,Keywords,Company Phone,Annual Revenue,SIC Codes,NAICS Codes,Founded Year,Subsidiary of,Tier_Engineering,Tier_Scientific,Why_Fit
LG Chem,15000,chemicals,http://www.lgchem.com,http://www.linkedin.com/company/lgchem,https://www.facebook.com/LGChem,,,,Seoul,South Korea,150-010,"Seoul, South Korea, 150-010","petrochemicals, advanced materials, battery materials, anode binder, cathode material, pharmaceuticals, vaccine, diagnostics, aesthetics, bio plastics, chemical manufacturing, green materials, circular plastics economy, bio-based products, hvo/saf biofuel plant, advanced oled materials, chemical recycling partnership, energy storage, eco-friendly beauty packaging, sustainability, renewable biomass power plant, corporate responsibility, blue hydrogen production, eco-friendly materials, consumer electronics materials, sustainable manufacturing, lithium-ion batteries, supply chain sustainability, pharmaceutical apis, semiconductor materials, carbon neutrality, compostable brand launch, medical devices, environmental responsibility, biosimilars, plant-based abs, circular economy, r&d innovation, solar panel materials, bio-circular products, energy solutions, patent portfolio, b2b, next-gen energy storage, green chemistry, electric vehicle batteries, high-performance ssbr, renewable energy materials, automotive power semiconductors paste, supercritical pyrolysis plant, climate action, ccu technology for blue hydrogen, global r&d centers, bio-material certification, electric vehicles, sustainable chemicals, collaborative innovation, resin and synthetic rubber manufacturing, chemical recycling, lithium extraction, renewable energy, technological advancement, biopharmaceuticals, bio-circular sap, circular economy initiatives, medical research, customer-centric, chemical products, next-generation insulators, industrial chemicals, supply chain management, oled materials, next-generation batteries, technological innovation, environmental impact reduction, climate change mitigation, sustainable development, energy efficiency, sustainable growth, chemicals, electronics materials, ocean-bound plastic initiative, global manufacturing, cathode materials partnership, energy transition, automotive supplies, automotive industry supplies, pharmaceutical development, bio-balanced products, market expansion, recycling, polymer manufacturing, energy storage systems, petrochemical products, raw material production, carbon reduction, high-performance plastics, battery technology, life sciences, digital crm system lg chem on, environmental strategy, green technology, open innovation, esg performance, new drug pipeline, human rights compliance, climate change initiatives, raw material sourcing, advanced manufacturing, synthetic rubber production, polymer solutions, specialty chemicals, medical solutions, consumer healthcare, automotive components, transparent films, ethylene production, chemical engineering, circular packaging solutions, waste management solutions, product safety standards, compliance management, workplace safety, long-term sustainability goals, global business networks, investor relations, financial transparency, stock performance, corporate governance, market leadership, innovation culture, competitive advantage, customer-centric solutions, technological advancements, life chemistry solutions, e-commerce, healthcare, manufacturing, distribution, consumer products & retail, transportation & logistics, energy & utilities, construction & real estate, material science, medical, oil & energy, environmental services, renewables & environment, hospital & health care, clean energy & technology, logistics & supply chain, consumer internet, consumers, internet, information technology & services, health care, health, wellness & fitness, mechanical or industrial engineering",'+82 23-773-0981,33156579000,2869,32521,1947,,Tier-1,Tier-2,Powder compaction/manufacturing suggests tooling wear → strong Engineering fit
MK Battery,82,electrical/electronic manufacturing,http://www.mkbattery.com,http://www.linkedin.com/company/mk-battery,https://www.facebook.com/MKBatteryPowered,https://twitter.com/MK_Battery,1631 S Sinclair St,Anaheim,California,United States,92806,"1631 S Sinclair St, Anaheim, California, United States, 92806","sealed lead acid batteries, appliances, electrical, & electronics manufacturing, electrical/electronic manufacturing, mechanical or industrial engineering, battery stores, shopping",'+1 800-372-9253,25000000,"1382, 4900, 1623",,1983,East Penn Manufacturing Co. (eastpennmanufacturing.com),Tier-1,Tier-3,Powder compaction/manufacturing suggests tooling wear → strong Engineering fit
mophie,140,electrical/electronic manufacturing,http://www.mophie.com,http://www.linkedin.com/company/mophie,https://facebook.com/mophie,https://twitter.com/mophie,15101 Red Hill Avenue,Tustin,California,United States,92780,"15101 Red Hill Avenue, Tustin, California, United States, 92780","mophie space pack, mophie juice pack powerstation pro, mophie juice pack air, mophie juice pack powerstation, mophie juice pack plus, mophie juice pack reserve, mophie juice pack pro, mophie juice pack for smartphones, mophie juice pack h2pro, hardware + software, computers & electronics manufacturing, sleek design, power banks for iphone, luxury tech accessories, retail, charging accessories for smartphones, power banks with high capacity, car charging solutions, power banks with internal batteries, designer power banks, wireless chargers, fashion collaborations, charging accessories, luxury accessories, uber power delivery campaign, power on-the-go, magnetic chargers, charging hubs, portable chargers, durable accessories, wireless power banks, b2c, customer service, fast charging power banks, integrated cables, multi-device charging, reliable portable power, e-commerce, magsafe compatible power banks, limited edition power accessories, charging cables, wireless charging technology, magsafe compatible, manufacturing, consumer electronics, usb-c cables, usb-c power delivery, luxury portable chargers, portable travel chargers with magsafe, wireless charging pads, power banks for travel, distribution, usb-c power banks, travel chargers, mobile device accessories, portable power stations, qi2 wireless charging, car chargers, wireless power banks with stand, fashion collaborations with valentino, charitable editions, on-the-go charging solutions, transportation & logistics, computer and peripheral equipment manufacturing, fast charging, power banks with fast charging, travel-friendly chargers, power banks with integrated cables, power banks with multiple ports, charity editions, magsafe accessories, power station, power stations, battery cases, d2c, compact power banks, power banks, qi2 wireless charging technology, charity support editions, reliable power, mobile power solutions, fast charging technology, wired power banks, charging stations, desktop charging stations, portable charging stations, juice pack, 3-in-1 travel charger, usb-c charging, lightning cable, magsafe compatibility, desktop wireless chargers, travel charging solutions, charging pads, magnetic charging, battery capacity, powerstation, powerstation mini, travel collection, iphone cases, charging collections, home charging stations, office charging stations, electronics accessories, mobile device charging, quick charge technology, high capacity batteries, smart charging technology, portable power solutions, dual port power bank, triple port power bank, car adapters, wall adapters, cables essentials, apple accessories, limited edition chargers, wireless charging pad, charging docks, power supply solutions, charging devices, battery packs, non-profit, consumer products & retail, computer hardware, computer software, information technology & services, electrical/electronic manufacturing, mechanical or industrial engineering, consumer internet, consumers, internet, hardware, nonprofit organization management",'+1 888-866-7443,35000000,3694,33411,2005,GEAR4 (gear4.com),Tier-1,Tier-3,Powder compaction/manufacturing suggests tooling wear → strong Engineering fit
"Universal Power Group, Inc.",72,electrical/electronic manufacturing,http://www.upgi.com,http://www.linkedin.com/company/universal-power-group,https://www.facebook.com/GoUPG/,https://twitter.com/goupg,120 Dividend Dr,Coppell,Texas,United States,75019-5161,"120 Dividend Dr, Coppell, Texas, United States, 75019-5161","sealed leadacid batteries, batteries of all chemistries, security products, wire, low voltage cable, custom battery packs, breakaway kits, power essentials, consumer batteries, charging solutions, gel batteries, appliances, electrical, & electronics manufacturing, retail, energy solutions for medical, iso 9001 certified, custom-engineered solutions, technological innovation, smart lithium-ion batteries, mission-critical power systems, off-grid solar batteries, intelligent battery management, smart batteries, value-added engineering, safety and performance, battery performance, energy, battery chargers, e-commerce, sealed lead-acid batteries, solar chargers, innovative energy solutions, medical device batteries, power solutions, custom batteries, supply chain management system, electrical equipment & components, b2b, energy storage, supply chain & logistics, supply chain, manufacturing, battery sourcing, risk management, battery manufacturing, performance optimization, battery safety, security system batteries, custom-engineered charging solutions, safety standards, high-performance power solutions, custom energy storage, performance batteries, battery industry leader, battery performance optimization, advanced battery chemistries, battery innovation, energy solutions for security, battery replacement, iso certification, energy storage solutions, custom energy storage solutions, battery solutions for critical needs, supply chain logistics, reliable quality, supply chain management, power supplies, supply chain capabilities, services, advanced chemistries, quality management, custom energy storage systems, battery performance testing, healthcare, reliable power, custom-engineered batteries, battery logistics, lithium-ion batteries, battery testing, battery quality assurance, engineering expertise, custom solutions, safety, performance, certified, innovative, electrical/electronic manufacturing, mechanical or industrial engineering, consumer internet, consumers, internet, information technology & services, oil & energy, logistics & supply chain, health care, health, wellness & fitness, hospital & health care",'+1 469-892-1122,83643000,3691,33591,1968,,Tier-1,Tier-3,Powder compaction/manufacturing suggests tooling wear → strong Engineering fit
"FDK INDONESIA, PT",110,electrical/electronic manufacturing,http://www.fdk.com,http://www.linkedin.com/company/fdk-indonesia-pt,,,,Bekasi,West Java,Indonesia,,"Bekasi, West Java, Indonesia","appliances, electrical, & electronics manufacturing, electrical/electronic manufacturing, mechanical or industrial engineering",'+1 408-432-8331,20946000,,,,,Tier-1,Tier-3,Powder compaction/manufacturing suggests tooling wear → strong Engineering fit
Nippo (Indo National Ltd),2900,electrical/electronic manufacturing,http://www.nippo.in,http://www.linkedin.com/company/nippo,,,Nungambakkam High Road,Chennai,Tamil Nadu,India,600034,"Nungambakkam High Road, Chennai, Tamil Nadu, India, 600034","battery, led, torch, mosquito bat, electricals, mosquito repellent, appliances, electrical, & electronics manufacturing, consumer electronics, lighting solutions, battery innovation, retail, environmental responsibility, fast rechargeable mosquito bats, battery manufacturing, iso 14001 certified, household electrical products, led lighting, rechargeable torches, cost-effective batteries, b2c, solar charging lanterns, electrical equipment, product quality assurance, sustainable manufacturing, manufacturing, dry cell batteries, indoor and outdoor lighting, mosquito protection products, surge protection, battery packs for rural markets, iso 9001 certified, cost-efficient dry batteries, mosquito swatters, high-performance zinc-carbon batteries, d2c, distribution, solar rechargeable bulbs, brand trust, surge protector accessories, glow-in-the-dark torches, innovation, power solutions, batteries, eco-friendly battery disposal, product reliability, widespread distribution, mercury-free batteries, electrical accessories, product innovation, household lighting, energy efficiency, e-commerce, consumer products & retail, transportation & logistics, electrical/electronic manufacturing, mechanical or industrial engineering, consumers, hardware, environmental services, renewables & environment, consumer internet, internet, information technology & services",'+91 44282 72711,301163000,3631,33591,1972,,Tier-1,Tier-3,Powder compaction/manufacturing suggests tooling wear → strong Engineering fit
Monbat Group,98,electrical/electronic manufacturing,,http://www.linkedin.com/company/monbat,,,32 Булевард Черни връх,Sofia,Sofia City Province,Bulgaria,1407,"32 Булевард Черни връх, Sofia, Sofia City Province, Bulgaria, 1407","leadacid batteries, lithiumion batteries, recycling, chemical engineering, automotive batteries, reserve power, vertically integrated economic group, appliances, electrical, & electronics manufacturing, cylindrical cells technology, energy & utilities, energy storage, battery energy storage systems, battery recycling, manufacturing, energy efficiency, battery cells, modular battery design, public transport batteries, energy storage projects, battery industry, b2b, battery solutions for industries, high power batteries, battery production, distribution, lead alloys, lithium-ion batteries, batteries for aerospace, lead scrap trading, airport battery solutions, transportation & logistics, services, energy solutions, lithium-ion solutions, battery manufacturing process, battery systems, industrial batteries, stationary batteries, sustainability, marine harbor operations, marine batteries, recycling of lead-acid batteries, plastic materials trading, bipolar lead batteries, battery manufacturing, lfp chemistry, battery market, lead alloys trading, special batteries, deep cycle batteries, lead-acid batteries, recycling activities, batteries for defense applications, modular battery packing, industrial energy storage, recycling facilities, energy storage systems, lead acid batteries, electrical/electronic manufacturing, mechanical or industrial engineering, oil & energy, environmental services, renewables & environment",'+359 2 962 1150,224000000,3691,33591,1999,,Tier-1,Tier-3,Powder compaction/manufacturing suggests tooling wear → strong Engineering fit
Nemaska Lithium,140,chemicals,http://www.nemaskalithium.com,http://www.linkedin.com/company/nemaskalithium,https://facebook.com/nemaskalithium,https://twitter.com/nemaska_lithium,1580 Boulevard de Port Royal,Becancour,Quebec,Canada,G9H 1X6,"1580 Boulevard de Port Royal, Becancour, Quebec, Canada, G9H 1X6","chemical manufacturing, renewable energy integration, mining and processing, mine development, critical mineral supply, lithium project development, low-cost lithium production, battery materials, sustainable development, battery technology, sustainable development goals, technology innovation, lithium hydroxide membrane process, strategic partnerships, local sourcing, high purity lithium salts, green mining practices, strategic investments, lithium hydroxide innovation, renewable energy, advanced manufacturing, transportation & logistics, sustainable lithium mining, community relations, critical materials, off-take agreements, responsible sourcing, low-cost operations, lithium supply chain quebec, lithium carbonate process, energy storage, green technology, nonferrous metal (except aluminum) smelting and refining, lithium hydroxide process, climate-friendly production, manufacturing, community partnership, raw material supply, electric vehicles, energy grid storage, environmental responsibility, lithium project financing, electric vehicle batteries, energy & utilities, lithium supply security, long-term supply agreements, green energy solutions, energy transition materials, clean energy, battery manufacturing, battery industry, lithium salts, renewable-powered lithium plant, canadian mining, electric mobility, lithium supply agreements, energy transition, bcancour plant, carbon reduction, electric vehicle supply chain, reliable supply, distribution, lithium extraction quebec, high purity chemicals, market growth, lithium hydroxide manufacturing, environmental sustainability, mine whabouchi, sustainable energy materials, industrial minerals, lithium production, project management, b2b, climate action, sustainable resource management, green energy, community engagement, advanced lithium processing, lithium for ev batteries, climate change mitigation, renewable energy use, energy independence, lithium processing, critical minerals, lithium hydroxide, lithium carbonate, integrated supply chain, supply chain management, supply chain control, energy efficiency, integrated lithium project, lithium market, environmental impact assessment, lithium salts production, battery grade lithium, quebec lithium, low emission manufacturing, lithium, lithium-ion batteries, membrane electrolysis, quebec mining industry, automotive batteries, raw material extraction, lithium resource management, battery supply chain, sustainable mining, canadian lithium producer, carbon footprint reduction, supply chain transparency, technological innovation, innovative technology, low carbon lithium, quebec resources, high purity lithium, industrial innovation, hydroxyde de lithium, batteries lithium-ion, matériaux critiques, production durable, transition énergétique, mineral extraction, high-purity lithium, mining industry, integrated production, chemical processing, triple bottom line, stakeholder value, social responsibility, corporate ethics, carbon footprint, cleantech innovation, sustainable practices, local partnerships, energy transformation, industrial applications, smart cities, lithium ion battery market, lifecycle assessment, resource efficiency, eco-friendly practices, community support, green energy initiatives, high-density energy storage, supply chain traceability, renewable resource development, job creation, corporate governance, chemicals, sustainability, environmental services, renewables & environment, clean energy & technology, oil & energy, mechanical or industrial engineering, productivity, logistics & supply chain",'+1 418-704-6038,1000000,1475,33141,2007,,Tier-1,Tier-2,Powder compaction/manufacturing suggests tooling wear → strong Engineering fit
GanfengLithium,160,chemicals,http://www.ganfenglithium.com,http://www.linkedin.com/company/ganfenglithium,https://www.facebook.com/ganfenglithium,https://twitter.com/GanfengLithium_,,Xinyu,,China,338000,"Xinyu, China, 338000","chemical manufacturing, lithium resource development, battery manufacturing, lithium metal production, lithium resource security, lithium technology innovation, electric vehicle batteries, lithium project, lithium extraction, energy storage batteries, lithium project in mexico, lithium technology, energy storage systems, nonferrous metal (except aluminum) smelting and refining, sustainable lithium, lithium project development, lithium industry, metals and mining, supply chain, lithium battery solutions, lithium battery, renewable energy storage solutions, battery materials, lithium extraction technology, lithium market, battery recycling technology, innovation, automotive lithium, battery recycling, automotive lithium supply chain, lithium extraction from ore, lithium project in argentina, supply chain management, lithium compounds, lithium supply chain, electric vehicles, b2b, lithium industry leader, lithium resource projects, lithium compounds manufacturing, automotive supply chain, lithium project investments, lithium project in mali, lithium chloride, lithium production, lithium project in canada, lithium extraction from brine, lithium project in australia, lithium metals, renewable energy storage, energy storage, lithium resource, lithium processing, lithium hydroxide, solid-state batteries, services, lithium metal, global lithium projects, lithium recycling, lithium carbonate, renewable energy, battery production, recycling technology, automotive lithium supply, lithium refining, lithium, lithium resources, electronic components, sustainable solutions, 3c products, green technologies, environmental responsibility, carbon emissions, global supply chain, raw materials, battery customization, battery systems, oem solutions, advanced technologies, recycling processes, chemical products, automotive batteries, government regulations, international expansion, patented technologies, biodegradable materials, r&d innovation, production capacity, market leadership, industrial transformation, environment-friendly processes, high-tech solutions, mass production, sustainability practices, investor relations, strategic partnerships, mining operations, international projects, eco-enterprise, quality assurance, finance, manufacturing, distribution, energy & utilities, chemicals, logistics & supply chain, clean energy & technology, environmental services, renewables & environment, oil & energy, financial services, mechanical or industrial engineering",'+86 790 685 5220,4628069000,3691,33141,2000,,Tier-1,Tier-2,Powder compaction/manufacturing suggests tooling wear → strong Engineering fit
LG Energy Solution Wrocław,1900,chemicals,http://www.lgensol.pl,http://www.linkedin.com/company/lg-energy-solution-wroclaw,https://www.facebook.com/LGEnergySolutionWroclaw/,,2 ulica Lg,,Lower Silesian Voivodeship,Poland,55-040,"2 ulica Lg, Lower Silesian Voivodeship, Poland, 55-040","automotive, produkcja, rozwiazania energetyczne, akumulatory litowojonowe, chemia, chemical manufacturing, battery lifecycle management, energy & utilities, automotive batteries, battery environmental sustainability, battery market, battery future, services, battery safety innovations, battery plant, battery energy density, battery cell technology, energy storage, advanced battery technology, battery supply, battery management system, battery patents, automotive industry, advanced battery r&d, battery environmental impact, battery pack safety standards, battery pack integration, battery cells, battery pack durability, battery modules, energy storage solutions, green energy, battery cell manufacturing, battery testing and validation, battery pack design, ev batteries, battery supply chain management, battery quality, battery assembly, battery materials sourcing, battery sustainability, energy storage systems, battery management systems, battery ecosystem development, electric vehicle batteries, battery quality assurance, battery lifecycle, battery pack lifecycle, contract manufacturing, batteries, battery market expansion, battery pack assembly line, battery formats, battery technology innovation, electric vehicles, manufacturing, battery packs, b2b, battery energy density improvements, battery safety standards compliance, battery pack testing, battery environmental impact reduction, battery supply chain, battery regional, battery lifecycle analysis, battery innovation, battery recycling, battery production line, battery energy management, battery pack design innovation, battery safety, lithium-ion batteries, battery ecosystem, battery manufacturing automation, battery manufacturing, battery technology, renewable energy, battery quality control, battery factory, battery design, battery materials innovation, battery development, battery safety standards, battery joint ventures, battery capacity, battery r&d, battery efficiency, energy storage batteries, battery recycling technologies, sustainable energy, battery pack safety, battery recycling processes, battery industry, battery supplier, battery global, battery pack recycling, battery pack manufacturing, battery pack performance, battery safety testing, battery pack assembly, battery materials, battery performance, battery pack quality control, energy transition, battery testing, battery pack performance testing, battery manufacturing process, battery performance optimization, battery production, ev battery production, battery components, global battery manufacturer, carbon neutrality, green technologies, zero-emission automotive, sustainable development, high-capacity batteries, vehicle electrification, battery technology research, production capacity increase, automotive industry partnership, energy density, lithium iron phosphate batteries, battery cell design, energy-efficient technologies, joint ventures, battery module assembly, battery integration, ev market expansion, manufacturing efficiency, battery supply agreements, advanced battery technologies, transportation electrification, batteries for hybrids, battery research and development, ev market leadership, cell-to-pack technology, packaging solutions, automotive partnerships, lithium-ion cell technology, next-generation batteries, battery storage systems, education, distribution, transportation_logistics, energy_utilities, chemicals, oil & energy, mechanical or industrial engineering, hardware, clean energy & technology, environmental services, renewables & environment, sustainability",,9297000000,3691,33591,2016,LG Energy Solution (lgensol.com),Tier-1,Tier-2,Powder compaction/manufacturing suggests tooling wear → strong Engineering fit
