Company,City,State,Phone,Website,LinkedIn,Natoli Fit,Territory,Sales Rep,Industry,Confidence,Reason,503A,503B,GMP Likely,FDA Likely,Industry Match
Nature Made,Mission Hills,CA,-3953,https://www.naturemade.com,https://www.linkedin.com/company/nature-made/,Both,,,vitamin tablet manufacturing,90,They manufacture vitamin tablets and may require engineering for tablet tooling.,,,,,
GNC,Pittsburgh,PA,-5299,https://www.gnc.com,https://www.linkedin.com/company/gnc/,Both,,,vitamin tablet manufacturing,85,"GNC produces dietary supplements, including vitamins, and would benefit from both R&D and engineering.",,,,,
NOW Foods,Bloomingdale,IL,-3212,https://www.nowfoods.com,https://www.linkedin.com/company/now-foods/,Both,,,vitamin tablet manufacturing,88,"Manufactures a variety of dietary supplements, requiring both formulation and engineering.",,,,,
Solgar,Leonia,NJ,-10213,https://www.solgar.com,https://www.linkedin.com/company/solgar/,Both,,,vitamin tablet manufacturing,87,"Known for high-quality vitamins and supplements, needing both R&D and manufacturing tooling.",,,,,
Garden of Life,West Palm Beach,FL,-3376,https://www.gardenoflife.com,https://www.linkedin.com/company/garden-of-life/,Both,,,vitamin tablet manufacturing,85,"Focuses on organic vitamins, needing both scientific formulation and engineering for production.",,,,,
Twinlab,American Fork,UT,-3464,https://www.twinlab.com,https://www.linkedin.com/company/twinlab/,Both,,,vitamin tablet manufacturing,84,"Manufactures a range of vitamin products, requiring formulation and engineering expertise.",,,,,
Jarrow Formulas,Los Angeles,CA,-2411,https://www.jarrow.com,https://www.linkedin.com/company/jarrow-formulas/,Both,,,vitamin tablet manufacturing,86,"Involved in dietary supplement formulation and production, eligible for both engineering and scientific support.",,,,,
Vitafusion,Bentonville,AR,-1179,https://www.vitafusion.com,https://www.linkedin.com/company/vitafusion/,Both,,,vitamin tablet manufacturing,83,"Specializes in gummy vitamins, requiring formulation and engineering for tablet tooling.",,,,,
Kirkland Signature,Issaquah,WA,-11555,https://www.costco.com/kirkland-signature.html,https://www.linkedin.com/company/kirkland-signature/,Both,,,vitamin tablet manufacturing,80,"Costco's brand that produces various vitamins, needing both R&D and engineering support.",,,,,
Nature's Way,Green Bay,WI,+1-800-9NATURE,https://www.naturesway.com,https://www.linkedin.com/company/nature's-way/,Both,,,vitamin tablet manufacturing,82,"Offers a wide range of vitamins, requiring both scientific formulation and engineering for production.",,,,,
Life Extension,Fort Lauderdale,FL,-10466,https://www.lifeextension.com,https://www.linkedin.com/company/life-extension/,Both,,,vitamin tablet manufacturing,81,Manufactures and sells dietary supplements that require both formulation and engineering capabilities.,,,,,
BioCare Copenhagen,Copenhagen,DK,-135,https://www.biocarecopenhagen.com,https://www.linkedin.com/company/biocare-copenhagen/,Both,,,vitamin tablet manufacturing,78,"Develops vitamins and supplements, requiring engineering for production and scientific R&D.",,,,,
NutraBlast,Los Angeles,CA,-4096,https://www.nutrablast.com,https://www.linkedin.com/company/nutrablast/,Both,,,vitamin tablet manufacturing,76,"Produces health supplements, including vitamins, requiring both engineering and scientific expertise.",,,,,
Pure Encapsulations,Sudbury,MA,-3829,https://www.pureencapsulations.com,https://www.linkedin.com/company/pure-encapsulations/,Both,,,vitamin tablet manufacturing,80,Offers high-quality vitamins and supplements with a focus on R&D and manufacturing.,,,,,
Thorne Research,Dover,ID,-2993,https://www.thorne.com,https://www.linkedin.com/company/thorne-research/,Both,,,vitamin tablet manufacturing,84,"Develops and produces dietary supplements and vitamins, needing engineering and scientific input.",,,,,
Vital Proteins,Chicago,IL,-10477,https://www.vitalproteins.com,https://www.linkedin.com/company/vital-proteins/,Both,,,vitamin tablet manufacturing,82,"Specializes in health supplements, including vitamins, requiring both R&D and manufacturing expertise.",,,,,
Herbalife,Los Angeles,CA,-10319,https://www.herbalife.com,https://www.linkedin.com/company/herbalife/,Both,,,vitamin tablet manufacturing,83,"Produces a range of dietary supplements, including vitamins, needing engineering and scientific formulation.",,,,,
Source Naturals,Santa Cruz,CA,-6162,https://www.sourcenaturals.com,https://www.linkedin.com/company/source-naturals/,Both,,,vitamin tablet manufacturing,79,Offers a wide range of vitamins and dietary supplements requiring both manufacturing and R&D.,,,,,
Herbalife Nutrition Ltd.,Los Angeles,CA,-10319,https://www.herbalife.com,https://www.linkedin.com/company/herbalife/,Both,,,dietary supplement tablets,90,Herbalife develops dietary supplements and requires tablet manufacturing capabilities.,,,,,
"GNC Holdings, LLC",Pittsburgh,PA,-5299,https://www.gnc.com,https://www.linkedin.com/company/gnc/,Both,,,dietary supplement tablets,85,GNC sells dietary supplements including tablets and has R&D for product formulation.,,,,,
Nature Made,Mission Hills,CA,-3953,https://www.naturemade.com,https://www.linkedin.com/company/nature-made/,Both,,,dietary supplement tablets,88,Nature Made manufactures and sells dietary supplements in tablet form.,,,,,
NOW Foods,Bloomingdale,IL,-6790,https://www.nowfoods.com,https://www.linkedin.com/company/now-foods/,Both,,,dietary supplement tablets,87,NOW Foods develops and manufactures dietary supplements including tablets.,,,,,
Garden of Life,Palm Beach Gardens,FL,-3376,https://www.gardenoflife.com,https://www.linkedin.com/company/garden-of-life/,Both,,,dietary supplement tablets,85,Garden of Life offers a variety of dietary supplements including tablets and conducts R&D.,,,,,
Quest Nutrition,Los Angeles,CA,-2323,https://www.questnutrition.com,https://www.linkedin.com/company/quest-nutrition/,Both,,,dietary supplement tablets,84,Quest Nutrition develops and manufactures dietary supplements including tablets.,,,,,
Optimum Nutrition,Aurora,IL,-6792,https://www.optimumnutrition.com,https://www.linkedin.com/company/optimum-nutrition/,Both,,,dietary supplement tablets,82,"Optimum Nutrition produces dietary supplements, focusing on tablets and powders.",,,,,
Vitamin Shoppe,Secaucus,NJ,-2238,https://www.vitaminshoppe.com,https://www.linkedin.com/company/vitamin-shoppe/,Both,,,dietary supplement tablets,80,Vitamin Shoppe sells dietary supplements including tablets and has formulation capabilities.,,,,,
NutraBio Labs,South River,NJ,-1988,https://www.nutrabio.com,https://www.linkedin.com/company/nutrabio/,Both,,,dietary supplement tablets,86,"NutraBio Labs manufactures and formulates dietary supplements, including tablets.",,,,,
BSN (Bio-Engineered Supplements and Nutrition),Boca Raton,FL,-2754,https://www.bsnonline.com,https://www.linkedin.com/company/bio-engineered-supplements-and-nutrition/,Both,,,dietary supplement tablets,83,"BSN develops and manufactures dietary supplements, including tablets.",,,,,
MusclePharm,Los Angeles,CA,-2405,https://www.musclepharm.com,https://www.linkedin.com/company/musclepharm/,Both,,,dietary supplement tablets,81,MusclePharm develops dietary supplements and has manufacturing capabilities for tablets.,,,,,
Pure Encapsulations,Sudbury,MA,-3829,https://www.pureencapsulations.com,https://www.linkedin.com/company/pure-encapsulations/,Both,,,dietary supplement tablets,85,"Pure Encapsulations specializes in formulating and manufacturing dietary supplements, including tablets.",,,,,
Source Naturals,Scotts Valley,CA,-5262,https://www.sourcenaturals.com,https://www.linkedin.com/company/source-naturals/,Both,,,dietary supplement tablets,84,Source Naturals formulates and manufactures dietary supplements in tablet form.,,,,,
Nature's Way,Green Bay,WI,#NAME?,https://www.naturesway.com,https://www.linkedin.com/company/nature's-way/,Both,,,dietary supplement tablets,86,Nature's Way offers a wide variety of dietary supplements including tablets and has R&D capabilities.,,,,,
Jarrow Formulas,Los Angeles,CA,-2411,https://www.jarrow.com,https://www.linkedin.com/company/jarrow-formulas/,Both,,,dietary supplement tablets,82,"Jarrow Formulas develops and manufactures dietary supplements, including tablets.",,,,,
Kirkland Signature,Issaquah,WA,-8951,https://www.costco.com/kirkland-signature.html,N/A,Both,,,dietary supplement tablets,80,"Kirkland Signature offers dietary supplements in tablet form, requiring manufacturing capabilities.",,,,,
SmartyPants Vitamins,Los Angeles,CA,-1959,https://www.smarty-pants.com,https://www.linkedin.com/company/smarty-pants-vitamins/,Both,,,dietary supplement tablets,83,SmartyPants develops and manufactures dietary supplement tablets.,,,,,
Thorne Research,Dover,ID,-2993,https://www.thorne.com,https://www.linkedin.com/company/thorne-research/,Both,,,dietary supplement tablets,84,"Thorne Research formulates and manufactures dietary supplements, including tablets.",,,,,
Bayer AG,Pharmaceuticals,NY,-3207,https://www.bayer.com,https://www.linkedin.com/company/bayer,Both,,,otc pain relief tablets,90,Bayer manufactures OTC pain relief medications and conducts R&D.,,,,,
Johnson & Johnson,New Brunswick,NJ,-1655,https://www.jnj.com,https://www.linkedin.com/company/johnson-johnson,Both,,,otc pain relief tablets,95,J&J produces OTC pain relief products and invests in formulation R&D.,,,,,
Pfizer Inc.,New York,NY,-3267,https://www.pfizer.com,https://www.linkedin.com/company/pfizer,Scientific,,,otc pain relief tablets,88,Pfizer conducts extensive research and formulation for pain relief products.,,,,,
GlaxoSmithKline plc,Philadelphia,PA,-5965,https://www.gsk.com,https://www.linkedin.com/company/glaxosmithkline,Both,,,otc pain relief tablets,90,GSK develops and manufactures OTC pain relief medications.,,,,,
Mylan N.V.,Canonsburg,PA,-3037,https://www.mylan.com,https://www.linkedin.com/company/mylan,Both,,,otc pain relief tablets,85,Mylan produces generic OTC pain relief products and works on formulations.,,,,,
Advil,Fort Washington,PA,-7497,https://www.advil.com,,Both,,,otc pain relief tablets,80,Advil is a leading brand in OTC pain relief with significant manufacturing.,,,,,
Tylenol,Fort Washington,PA,-7497,https://www.tylenol.com,,Both,,,otc pain relief tablets,80,"Tylenol, owned by Johnson & Johnson, is a major player in OTC pain relief.",,,,,
Sanofi,Bridgewater,NJ,-6111,https://www.sanofi.com,https://www.linkedin.com/company/sanofi,Both,,,otc pain relief tablets,85,Sanofi develops and manufactures OTC pain relief medications.,,,,,
Bristol-Myers Squibb,New York,NY,-4757,https://www.bms.com,https://www.linkedin.com/company/bristol-myers-squibb,Scientific,,,otc pain relief tablets,82,BMS invests in drug formulation and development for pain relief.,,,,,
Novartis AG,East Hanover,NJ,-9639,https://www.novartis.com,https://www.linkedin.com/company/novartis,Both,,,otc pain relief tablets,87,Novartis manufactures OTC pain relief products and conducts R&D.,,,,,
AstraZeneca,Wilmington,DE,-4187,https://www.astrazeneca.com,https://www.linkedin.com/company/astrazeneca,Scientific,,,otc pain relief tablets,80,AstraZeneca focuses on research and development for pain relief medications.,,,,,
Amgen Inc.,Thousand Oaks,CA,-2251,https://www.amgen.com,https://www.linkedin.com/company/amgen,Scientific,,,otc pain relief tablets,75,Amgen conducts extensive biomedical research including pain relief.,,,,,
Reckitt Benckiser Group plc,Slough,UK,-219509,https://www.reckitt.com,https://www.linkedin.com/company/reckitt,Both,,,otc pain relief tablets,85,Reckitt Benckiser produces OTC pain relief products and invests in R&D.,,,,,
"Church & Dwight Co., Inc.",Ewing,NJ,-7191,https://www.churchdwight.com,https://www.linkedin.com/company/church-dwight,Both,,,otc pain relief tablets,83,Church & Dwight develops and manufactures OTC pain relief medications.,,,,,
Haleon,Weybridge,UK,-898088,https://www.haleon.com,https://www.linkedin.com/company/haleon,Both,,,otc pain relief tablets,80,Haleon focuses on consumer health products including pain relief.,,,,,
CuraMedix,San Diego,CA,-6307,https://www.curamedix.com,,Both,,,otc pain relief tablets,78,CuraMedix develops and manufactures OTC pain relief tablets.,,,,,
Zywave,Milwaukee,WI,-8189,https://www.zywave.com,,No Fit,,,otc pain relief tablets,70,"Zywave focuses on technology solutions, not pain relief products.",,,,,
Perrigo Company plc,Dublin,IE,-4357,https://www.perrigo.com,https://www.linkedin.com/company/perrigo,Both,,,otc pain relief tablets,88,Perrigo manufactures a variety of OTC pain relief medications.,,,,,
Taro Pharmaceutical Industries Ltd.,Hawthorne,NY,-4193,http://www.taro.com,https://www.linkedin.com/company/taro-pharmaceutical-industries-ltd/,Both,,,antacid tablet manufacturing,85,Taro engages in both tablet manufacturing and formulation research.,,,,,
Pfizer Inc.,New York,NY,-3267,http://www.pfizer.com,https://www.linkedin.com/company/pfizer/,Both,,,antacid tablet manufacturing,90,Pfizer produces a variety of tablets and is involved in R&D for formulations.,,,,,
Bayer AG,Leverkusen,NA,-196,http://www.bayer.com,https://www.linkedin.com/company/bayer/,Both,,,antacid tablet manufacturing,88,Bayer manufactures antacids and engages in extensive R&D.,,,,,
Procter & Gamble Co.,Cincinnati,OH,-2595,http://www.pg.com,https://www.linkedin.com/company/procter-and-gamble/,Both,,,antacid tablet manufacturing,85,P&G produces antacids and conducts formulation research.,,,,,
GlaxoSmithKline plc,Brentford,NA,-13023,http://www.gsk.com,https://www.linkedin.com/company/glaxosmithkline/,Both,,,antacid tablet manufacturing,87,GSK develops and manufactures various tablet formulations including antacids.,,,,,
Johnson & Johnson,New Brunswick,NJ,-1655,http://www.jnj.com,https://www.linkedin.com/company/johnson-and-johnson/,Both,,,antacid tablet manufacturing,90,J&J produces over-the-counter antacid tablets and conducts R&D.,,,,,
Sanofi,Paris,NA,-138,http://www.sanofi.com,https://www.linkedin.com/company/sanofi/,Both,,,antacid tablet manufacturing,85,Sanofi develops and manufactures antacid products.,,,,,
AbbVie Inc.,North Chicago,IL,-6821,http://www.abbvie.com,https://www.linkedin.com/company/abbvie/,Both,,,antacid tablet manufacturing,84,AbbVie is involved in formulation and manufacturing of tablets.,,,,,
Novartis AG,Basel,NA,-1455,http://www.novartis.com,https://www.linkedin.com/company/novartis/,Both,,,antacid tablet manufacturing,86,Novartis manufactures tablets including antacids and focuses on R&D.,,,,,
Mylan N.V.,Canonsburg,PA,-3037,http://www.mylan.com,https://www.linkedin.com/company/mylan/,Both,,,antacid tablet manufacturing,85,Mylan manufactures generic antacids and conducts formulation research.,,,,,
Bausch Health Companies Inc.,Laval,QC,-9427,http://www.bauschhealth.com,https://www.linkedin.com/company/bauschhealth/,Both,,,antacid tablet manufacturing,82,Bausch Health produces antacid tablets and engages in R&D.,,,,,
Amgen Inc.,Thousand Oaks,CA,-2251,http://www.amgen.com,https://www.linkedin.com/company/amgen/,No Fit,,,antacid tablet manufacturing,80,Focuses on biotechnology rather than tablet manufacturing.,,,,,
Bristol-Myers Squibb Company,New York,NY,-4757,http://www.bms.com,https://www.linkedin.com/company/bristol-myers-squibb/,Both,,,antacid tablet manufacturing,83,BMS develops and manufactures various pharmaceuticals including antacids.,,,,,
Sandoz International GmbH,Holzkirchen,NA,-8618,http://www.sandoz.com,https://www.linkedin.com/company/sandoz/,Both,,,antacid tablet manufacturing,84,Sandoz produces generic medications including antacids and conducts R&D.,,,,,
Hikma Pharmaceuticals PLC,London,NA,-11569,http://www.hikma.com,https://www.linkedin.com/company/hikma-pharmaceuticals/,Both,,,antacid tablet manufacturing,81,Hikma manufactures antacid tablets and carries out formulation research.,,,,,
